use?	name	exon	chr	strand	UCSC_start	UCSC_end	exon_start	exon_end	exon_len	intergenic_5p_start	intergenic_5p_end	intergenic_5p_len	intergenic_3p_start	intergenic_3p_end	intergenic_3p_len
Y	ENSCSAT00000001320.1	ENSCSAG00000003290.1_ex2/2	chr1	+	86376771	86377974	86376771	86377974	1204	86357359	86376770	19412	86377975	86443967	65993
Y	ENSCSAT00000006085.1	ENSCSAG00000008069.1_ex16/16	chr11	+	20540658	20540900	20540658	20540900	243	20531442	20540657	9216	20540901	20548373	7473
Y	ENSCSAT00000005162.1	ENSCSAG00000007119.1_ex23/23	chr11	+	37329626	37333314	37329626	37333314	3689	37310994	37329625	18632	37333315	37514404	181090
Y	ENSCSAT00000004790.1	ENSCSAG00000006749.1_ex17/17	chr11	+	42115877	42118892	42115877	42118892	3016	42109943	42115876	5934	42118893	42777906	659014
Y	ENSCSAT00000003390.1	ENSCSAG00000005358.1_ex1/11	chr11	-	51042094	51044583	51042094	51044583	2490	51044584	51049821	5238	50903220	51042093	138874
Y	ENSCSAT00000002572.1	ENSCSAG00000004540.1_ex1/4	chr11	-	57597696	57600313	57597696	57600313	2618	57600314	57621156	20843	56937067	57597695	660629
Y	ENSCSAT00000002544.1	ENSCSAG00000004515.1_ex1/10	chr11	-	58534471	58539304	58534471	58539304	4834	58539305	58548742	9438	58514468	58534470	20003
Y	ENSCSAT00000002529.1	ENSCSAG00000004499.1_ex22/22	chr11	+	59850927	59851302	59850927	59851302	376	59844818	59850926	6109	59851303	59875905	24603
Y	ENSCSAT00000002221.1	ENSCSAG00000004199.1_ex1/9	chr11	-	65283137	65284047	65283137	65284047	911	65284048	65293094	9047	65261005	65283136	22132
Y	ENSCSAT00000002204.1	ENSCSAG00000004174.1_ex3/3	chr11	+	66007032	66007201	66007032	66007201	170	65992897	66007031	14135	66007202	66244905	237704
Y	ENSCSAT00000001811.1	ENSCSAG00000003781.1_ex1/10	chr11	-	83856156	83860555	83856156	83860555	4400	83860556	83864746	4191	83685376	83856155	170780
Y	ENSCSAT00000001793.1	ENSCSAG00000003766.1_ex1/22	chr11	-	84989168	84989194	84989168	84989194	27	84989195	84992808	3614	84953561	84989167	35607
Y	ENSCSAT00000001026.1	ENSCSAG00000002999.1_ex3/3	chr11	+	99981125	99981977	99981125	99981977	853	99897950	99981124	83175	99981978	100029068	47091
Y	ENSCSAT00000016569.1	ENSCSAG00000001960.1_ex6/6	chr11	+	124084817	124087645	124084817	124087645	2829	124081013	124084816	3804	124087646	124168492	80847
Y	ENSCSAT00000016581.1	ENSCSAG00000001950.1_ex11/11	chr11	+	124352917	124353079	124352917	124353079	163	124340134	124352916	12783	124353080	124936197	583118
Y	ENSCSAT00000015816.1	ENSCSAG00000017717.1_ex1/9	chr3	-	27225945	27228319	27225945	27228319	2375	27228320	27237537	9218	26831782	27225944	394163
Y	ENSCSAT00000015792.1	ENSCSAG00000017698.1_ex2/2	chr3	+	29164345	29165152	29164345	29165152	808	29150615	29164344	13730	29165153	29196600	31448
Y	ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex2/5	chr3	+	35428710	35428794	35428710	35428794	85	35428647	35428709	63	35428795	35443064	14270
Y	ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex5/5	chr3	+	35514057	35519023	35514057	35519023	4967	35485879	35514056	28178	35519024	35652591	133568
Y	ENSCSAT00000015724.1	ENSCSAG00000017630.1_ex1/11	chr3	-	50590270	50593854	50590270	50593854	3585	50593855	50612176	18322	49838326	50590269	751944
Y	ENSCSAT00000015616.1	ENSCSAG00000017521.1_ex2/2	chr3	+	76180860	76184664	76180860	76184664	3805	76163771	76180859	17089	76184665	76188408	3744
Y	ENSCSAT00000015565.1	ENSCSAG00000017471.1_ex2/2	chr3	-	88071944	88074664	88071944	88074664	2721	88074665	88218872	144208	88059926	88071943	12018
Y	ENSCSAT00000013549.1	ENSCSAG00000015453.1_ex13/13	chr24	+	14356785	14359882	14356785	14359882	3098	14330986	14356784	25799	14359883	14395843	35961
Y	ENSCSAT00000013268.1	ENSCSAG00000015176.1_ex1/10	chr24	-	27314282	27317325	27314282	27317325	3044	27317326	27326356	9031	27308212	27314281	6070
Y	ENSCSAT00000004471.1	ENSCSAG00000006440.1_ex6/6	chr26	+	55538513	55538855	55538513	55538855	343	55532181	55538512	6332	55538856	55738007	199152
Y	ENSCSAT00000005382.1	ENSCSAG00000007337.1_ex4/4	chr26	+	42911030	42915062	42911030	42915062	4033	42904872	42911029	6158	42915063	42938793	23731
Y	ENSCSAT00000009651.1	ENSCSAG00000011567.1_ex19/20	chr26	+	29901561	29901669	29901561	29901669	109	29898821	29901560	2740	29901670	29903033	1364
Y	ENSCSAT00000009736.1	ENSCSAG00000011625.1_ex5/5	chr26	+	28225112	28227963	28225112	28227963	2852	28216794	28225111	8318	28227964	28229065	1102
Y	ENSCSAT00000012130.1	ENSCSAG00000014038.1_ex2/2	chr26	+	9748336	9749062	9748336	9749062	727	9743221	9748335	5115	9749063	9800860	51798
Y	ENSCSAT00000012817.1	ENSCSAG00000014721.1_ex7/7	chr26	+	6249837	6251896	6249837	6251896	2060	6247111	6249836	2726	6251897	6286187	34291
Y	ENSCSAT00000014943.1	ENSCSAG00000016847.1_ex1/3	chr29	-	19632025	19635378	19632025	19635378	3354	19635379	19663347	27969	19338135	19632024	293890
Y	ENSCSAT00000008435.1	ENSCSAG00000010349.1_ex7/7	chr5	+	2688435	2690582	2688435	2690582	2148	2684689	2688434	3746	2690583	2693996	3414
Y	ENSCSAT00000007722.1	ENSCSAG00000009642.1_ex1/10	chr5	-	3641348	3645654	3641348	3645654	4307	3645655	3650698	5044	3591146	3641347	50202
Y	ENSCSAT00000006728.1	ENSCSAG00000008664.1_ex4/4	chr5	+	8678136	8682105	8678136	8682105	3970	8671475	8678135	6661	8682106	8718690	36585
Y	ENSCSAT00000006243.1	ENSCSAG00000008198.1_ex21/21	chr5	+	12031483	12031613	12031483	12031613	131	12008523	12031482	22960	12031614	12190059	158446
Y	ENSCSAT00000006226.1	ENSCSAG00000008177.1_ex1/4	chr5	-	12110125	12113862	12110125	12113862	3738	12113863	12133575	19713	11933696	12110124	176429
Y	ENSCSAT00000005396.1	ENSCSAG00000007352.1_ex2/2	chr5	+	19378907	19380332	19378907	19380332	1426	19369031	19378906	9876	19380333	19423131	42799
Y	ENSCSAT00000004440.1	ENSCSAG00000006403.1_ex1/7	chr5	-	25494991	25495086	25494991	25495086	96	25495087	25502614	7528	25460593	25494990	34398
Y	ENSCSAT00000002176.1	ENSCSAG00000004146.1_ex1/5	chr5	-	57937175	57940439	57937175	57940439	3265	57940440	57942250	1811	57887940	57937174	49235
Y	ENSCSAT00000012157.1	ENSCSAG00000014068.1_ex1/3	chr16	-	1102347	1105411	1102347	1105411	3065	1105412	1112089	6678	1094680	1102346	7667
Y	ENSCSAT00000011290.1	ENSCSAG00000013192.1_ex1/6	chr16	-	3742880	3746333	3742880	3746333	3454	3746334	3751903	5570	3740113	3742879	2767
Y	ENSCSAT00000008231.1	ENSCSAG00000010211.1_ex13/13	chr16	+	9227245	9227581	9227245	9227581	337	9226571	9227244	674	9227582	9635839	408258
Y	ENSCSAT00000007100.1	ENSCSAG00000009036.1_ex1/2	chr16	-	12835337	12835956	12835337	12835956	620	12835957	12837662	1706	12594605	12835336	240732
Y	ENSCSAT00000000650.1	ENSCSAG00000002635.1_ex19/19	chr16	+	67659467	67659599	67659467	67659599	133	67654501	67659466	4966	67659600	67753482	93883
Y	ENSCSAT00000003897.1	ENSCSAG00000005856.1_ex1/4	chr16	-	34042550	34047328	34042550	34047328	4779	34047329	34050098	2770	33961325	34042549	81225
Y	ENSCSAT00000002030.1	ENSCSAG00000004001.1_ex16/16	chr16	+	56946129	56950999	56946129	56950999	4871	56943202	56946128	2927	56951000	56982561	31562
Y	ENSCSAT00000002479.1	ENSCSAG00000004490.1_ex45/45	chr16	+	48301294	48301648	48301294	48301648	355	48296244	48301293	5050	48301649	48328555	26907
Y	ENSCSAT00000000417.1	ENSCSAG00000002402.1_ex4/4	chr16	+	70235103	70235193	70235103	70235193	91	70232081	70235102	3022	70235194	70239893	4700
Y	ENSCSAT00000000125.1	ENSCSAG00000002109.1_ex9/9	chr16	+	74503176	74503373	74503176	74503373	198	74495879	74503175	7297	74503374	74557538	54165
Y	ENSCSAT00000015712.1	ENSCSAG00000017618.1_ex1/11	chr18	-	60088524	60088733	60088524	60088733	210	60088734	60092749	4016	60084714	60088523	3810
Y	ENSCSAT00000015648.1	ENSCSAG00000017553.1_ex7/7	chr18	+	68732890	68736771	68732890	68736771	3882	68726034	68732889	6856	68736772	68736826	55
Y	ENSCSAT00000015793.1	ENSCSAG00000017699.1_ex10/10	chr18	+	56941901	56944306	56941901	56944306	2406	56936490	56941900	5411	56944307	56950240	5934
Y	ENSCSAT00000016046.1	ENSCSAG00000017949.1_ex3/4	chr18	-	35928171	35931631	35928171	35931631	3461	35931632	35969328	37697	35888767	35928170	39404
Y	ENSCSAT00000016122.1	ENSCSAG00000018024.1_ex4/4	chr18	+	32022033	32024850	32022033	32024850	2818	32011718	32022032	10315	32024851	32247885	223035
Y	ENSCSAT00000016256.1	ENSCSAG00000018160.1_ex5/13	chr18	+	21197724	21201112	21197724	21201112	3389	21177682	21197723	20042	21201113	21203909	2797
Y	ENSCSAT00000016283.1	ENSCSAG00000018186.1_ex1/10	chr18	-	17382569	17385906	17382569	17385906	3338	17385907	17393477	7571	17313572	17382568	68997
Y	ENSCSAT00000016287.1	ENSCSAG00000018191.1_ex2/2	chr18	+	16637763	16637895	16637763	16637895	133	16540040	16637762	97723	16637896	16782637	144742
Y	ENSCSAT00000016327.1	ENSCSAG00000018231.1_ex1/8	chr18	-	4844049	4846540	4844049	4846540	2492	4846541	4919795	73255	4735487	4844048	108562
Y	ENSCSAT00000009595.1	ENSCSAG00000011506.1_ex1/2	chr6	-	2287894	2288020	2287894	2288020	127	2288021	2290503	2483	2282358	2287893	5536
Y	ENSCSAT00000003062.1	ENSCSAG00000005029.1_ex1/3	chr6	-	18457569	18458840	18457569	18458840	1272	18458841	18466510	7670	18365030	18457568	92539
Y	ENSCSAT00000003010.1	ENSCSAG00000004980.1_ex3/3	chr6	+	19578733	19580532	19578733	19580532	1800	19574463	19578732	4270	19580533	19659572	79040
Y	ENSCSAT00000003002.1	ENSCSAG00000004974.1_ex1/2	chr6	-	19710360	19714476	19710360	19714476	4117	19714477	19722524	8048	19669821	19710359	40539
Y	ENSCSAT00000003000.1	ENSCSAG00000004971.1_ex1/3	chr6	-	19789493	19794893	19789493	19794893	5401	19794894	19802775	7882	19760170	19789492	29323
N	ENSCSAT00000002984.1	ENSCSAG00000004956.1_ex10/14	chr6	-	20200861	20201144	20200655	20201144	490	20201145	20205803	4659	20200646	20200654	9
Y	ENSCSAT00000002979.1	ENSCSAG00000004945.1_ex3/7	chr6	+	20334499	20334933	20334499	20334933	435	20329824	20334498	4675	20334934	20335185	252
Y	ENSCSAT00000002858.1	ENSCSAG00000004832.1_ex1/3	chr6	+	25494972	25497142	25494972	25497142	2171	25297554	25494971	197418	25497143	25540954	43812
Y	ENSCSAT00000018617.1	ENSCSAG00000018527.1_ex1/1	chr6	+	30377426	30378419	30377426	30378419	994	30337566	30377425	39860	30378420	30418401	39982
Y	ENSCSAT00000002238.1	ENSCSAG00000004210.1_ex1/3	chr6	-	31307607	31308632	31307607	31308632	1026	31308633	31320140	11508	31290463	31307606	17144
Y	ENSCSAT00000001353.1	ENSCSAG00000003326.1_ex3/3	chr6	+	37752429	37754276	37752429	37754276	1848	37751057	37752428	1372	37754277	37892562	138286
Y	ENSCSAT00000001350.1	ENSCSAG00000003323.1_ex1/2	chr6	-	37767320	37769296	37767320	37769296	1977	37769297	37775126	5830	37754373	37767319	12947
Y	ENSCSAT00000001347.1	ENSCSAG00000003321.1_ex1/2	chr6	-	37798284	37801667	37798284	37801667	3384	37801668	37805139	3472	37789670	37798283	8614
Y	ENSCSAT00000001043.1	ENSCSAG00000003015.1_ex2/7	chr6	+	40264301	40268170	40264301	40268170	3870	40235187	40264300	29114	40268171	40275909	7739
Y	ENSCSAT00000016861.1	ENSCSAG00000001668.1_ex1/5	chr6	-	49002500	49007843	49002500	49007843	5344	49007844	49013566	5723	48980504	49002499	21996
Y	ENSCSAT00000011610.1	ENSCSAG00000013514.1_ex1/3	chr2	-	31348807	31351119	31348807	31351119	2313	31351120	31354998	3879	31347764	31348806	1043
Y	ENSCSAT00000011682.1	ENSCSAG00000013586.1_ex1/29	chr2	-	29242424	29245876	29242424	29245876	3453	29245877	29270527	24651	29078857	29242423	163567
Y	ENSCSAT00000008092.1	ENSCSAG00000010002.1_ex3/3	chr2	+	57458947	57462000	57458947	57462000	3054	57451596	57458946	7351	57462001	57467798	5798
Y	ENSCSAT00000011827.1	ENSCSAG00000013728.1_ex1/7	chr2	-	25659235	25661864	25659235	25661864	2630	25661865	25673254	11390	25555894	25659234	103341
Y	ENSCSAT00000012055.1	ENSCSAG00000013961.1_ex3/4	chr2	+	22571077	22574087	22571077	22574087	3011	22539679	22571076	31398	22574088	22582105	8018
Y	ENSCSAT00000013279.1	ENSCSAG00000015184.1_ex1/3	chr2	-	13215928	13219873	13215928	13219873	3946	13219874	13225370	5497	13197568	13215927	18360
Y	ENSCSAT00000008091.1	ENSCSAG00000010001.1_ex1/2	chr19	-	10652938	10655787	10652938	10655787	2850	10655788	10678903	23116	10084003	10652937	568935
Y	ENSCSAT00000008091.1	ENSCSAG00000010001.1_ex2/2	chr19	-	10702018	10706762	10702018	10706762	4745	10706763	10734175	27413	10678903	10702017	23115
Y	ENSCSAT00000003709.1	ENSCSAG00000005671.1_ex5/6	chr19	-	24742619	24748310	24742619	24748310	5692	24748311	24800752	52442	24727137	24742618	15482
Y	ENSCSAT00000003215.1	ENSCSAG00000005254.1_ex35/36	chr19	-	29026476	29027458	29026476	29027458	983	29027459	29027552	94	28988001	29026475	38475
Y	ENSCSAT00000003166.1	ENSCSAG00000005134.1_ex13/13	chr19	+	29681185	29684409	29681185	29684409	3225	29654060	29681184	27125	29684410	30378746	694337
