use?	name	exon	chr	strand	UCSC_start	UCSC_end	exon_start	exon_end	exon_len	intergenic_5p_start	intergenic_5p_end	intergenic_5p_len	intergenic_3p_start	intergenic_3p_end	intergenic_3p_len
Y	ENSPTRT00000009596	ENSPTRG00000005218_ex3/3	chr12	+	70756808	70757342	70756808	70757342	535	70740718	70756807	16090	70757343	71006098	248756
Y	ENSPTRT00000009709	ENSPTRG00000005281_ex1/10	chr12	-	89345218	89349618	89345218	89349618	4401	89349619	89353612	3994	89167228	89345217	177990
Y	ENSPTRT00000067114	ENSPTRG00000005286_ex1/22	chr12	-	90433870	90437113	90433870	90437113	3244	90437114	90440871	3758	90412269	90433869	21601
Y	ENSPTRT00000009881	ENSPTRG00000005379_ex4/4	chr12	+	105900078	105901235	105900078	105901235	1158	105820135	105900077	79943	105901236	105948244	47009
Y	ENSPTRT00000010347	ENSPTRG00000005627_ex6/6	chr12	+	130686581	130689403	130686581	130689403	2823	130682777	130686580	3804	130689404	130767668	78265
Y	ENSPTRT00000010349	ENSPTRG00000005629_ex8/8	chr12	+	130983338	130985372	130983338	130985372	2035	130971120	130983337	12218	130985373	131587418	602046
Y	ENSPTRT00000010791	ENSPTRG00000005872_ex1/9	chr13	-	49199374	49201702	49199374	49201702	2329	49201703	49212034	10332	48801345	49199373	398029
Y	ENSPTRT00000010816	ENSPTRG00000005888_ex4/4	chr13	+	51198317	51199124	51198317	51199124	808	51183705	51198316	14612	51199125	51229243	30119
Y	ENSPTRT00000060167	ENSPTRG00000005914_ex1/4	chr13	+	57541135	57544592	57541135	57544592	3458	57293965	57541134	247170	57544593	57560250	15658
Y	ENSPTRT00000060167	ENSPTRG00000005914_ex4/4	chr13	+	57636675	57640992	57636675	57640992	4318	57606475	57636674	30200	57640993	57772628	131636
Y	ENSPTRT00000010876	ENSPTRG00000005924_ex1/12	chr13	-	71617158	71619876	71617158	71619876	2719	71619877	71631838	11962	70936023	71617157	681135
Y	ENSPTRT00000010989	ENSPTRG00000005983_ex2/2	chr13	+	98230434	98234214	98230434	98234214	3781	98215423	98230433	15011	98234215	98440234	206020
Y	ENSPTRT00000011069	ENSPTRG00000006030_ex2/5	chr13	-	110828291	110828707	110828291	110828707	417	110828708	110828708	1	110815804	110828290	12487
Y	ENSPTRT00000011516	ENSPTRG00000006284_ex14/14	chr14	+	36685331	36689685	36685331	36689685	4355	36673802	36685330	11529	36689686	36774772	85087
Y	ENSPTRT00000011584	ENSPTRG00000006329_ex1/10	chr14	-	49445365	49445561	49445365	49445561	197	49445562	49454612	9051	49440956	49445364	4409
Y	ENSPTRT00000044314	ENSPTRG00000006831_ex1/10	chr15	-	24022275	24026886	24022275	24026886	4612	24026887	24033773	6887	23742857	24022274	279418
N	ENSPTRT00000048729	ENSPTRG00000006912_ex1/4	chr15	-	37053471	37057462	37053471	37057462	3992	37057463	37063707	6245	37028914	37053470	24557
Y	ENSPTRT00000049347	ENSPTRG00000007092_ex1/20	chr15	-	50860560	50864560	50860560	50864560	4001	50864561	50868099	3539	50492039	50860559	368521
Y	ENSPTRT00000013091	ENSPTRG00000007095_ex1/6	chr15	-	52617337	52619336	52617337	52619336	2000	52619337	52628565	9229	52613760	52617336	3577
Y	ENSPTRT00000058382	ENSPTRG00000030242_ex1/2	chr15	-	71538795	71539607	71538795	71539607	813	71539608	71544956	5349	71483695	71538794	55100
Y	ENSPTRT00000013505	ENSPTRG00000007322_ex1/7	chr15	-	74912052	74912990	74912052	74912990	939	74912991	74916083	3093	74839228	74912051	72824
Y	ENSPTRT00000013844	ENSPTRG00000007511_ex1/9	chr15	-	99222974	99224705	99222974	99224705	1732	99224706	99253386	28681	98929264	99222973	293710
Y	ENSPTRT00000064224	ENSPTRG00000007671_ex10/10	chr16	+	3063262	3065780	3063262	3065780	2519	3059179	3063261	4083	3065781	3073038	7258
Y	ENSPTRT00000014217	ENSPTRG00000007711_ex1/9	chr16	-	4083323	4084515	4083323	4084515	1193	4084516	4088372	3857	4040363	4083322	42960
Y	ENSPTRT00000014286	ENSPTRG00000007751_ex6/6	chr16	+	9399757	9400002	9399757	9400002	246	9393051	9399756	6706	9400003	10060833	660831
Y	ENSPTRT00000014328	ENSPTRG00000007785_ex12/12	chr16	+	12945855	12945982	12945855	12945982	128	12925705	12945854	20150	12945983	13640201	694219
N	ENSPTRT00000014331	ENSPTRG00000007787_ex1/4	chr16	-	13043566	13048747	13043566	13048747	5182	13048748	13068447	19700	12856399	13043565	187167
Y	ENSPTRT00000014476	ENSPTRG00000007857_ex2/2	chr16	+	21339260	21341066	21339260	21341066	1807	21332295	21339259	6965	21341067	21367396	26330
Y	ENSPTRT00000060311	ENSPTRG00000007918_ex1/6	chr16	-	28223998	28224575	28223998	28224575	578	28224576	28232354	7779	28188108	28223997	35890
Y	ENSPTRT00000015271	ENSPTRG00000008282_ex5/5	chr16	+	69284533	69288369	69284533	69288369	3837	69282879	69284532	1654	69288370	69338726	50357
Y	ENSPTRT00000015716	ENSPTRG00000008522_ex1/4	chr17	-	1384134	1385603	1384134	1385603	1470	1385604	1394375	8772	1373677	1384133	10457
Y	ENSPTRT00000015851	ENSPTRG00000008589_ex1/5	chr17	-	4345715	4349035	4345715	4349035	3321	4349036	4354221	5186	4343087	4345714	2628
Y	ENSPTRT00000016130	ENSPTRG00000008761_ex2/14	chr17	-	46563082	46563407	46563082	46563407	326	46563408	46564103	696	46562919	46563081	163
Y	ENSPTRT00000016188	ENSPTRG00000008789_ex2/2	chr17	+	42857032	42858161	42857032	42858161	1130	42803941	42857031	53091	42858162	43111037	252876
Y	ENSPTRT00000016709	ENSPTRG00000009070_ex21/21	chr17	+	19039809	19039944	19039809	19039944	136	19034106	19039808	5703	19039945	19137474	97530
Y	ENSPTRT00000017361	ENSPTRG00000009468_ex5/5	chr17	+	58608670	58611085	58608670	58611085	2416	58603549	58608669	5121	58611086	58621548	10463
Y	ENSPTRT00000059603	ENSPTRG00000009538_ex1/16	chr17	-	63613744	63615086	63613744	63615086	1343	63615087	63615089	3	63613445	63613743	299
N	ENSPTRT00000017604	ENSPTRG00000009600_ex1/43	chr17	-	72823387	72824373	72823387	72824373	987	72824374	72829208	4835	72809141	72823386	14246
Y	ENSPTRT00000017816	ENSPTRG00000009707_ex5/5	chr17	+	77896315	77898491	77896315	77898491	2177	77892962	77896314	3353	77898492	77903298	4807
Y	ENSPTRT00000018008	ENSPTRG00000009806_ex10/10	chr17	+	82846790	82850087	82846790	82850087	3298	82843527	82846789	3263	82850088	82906647	56560
Y	ENSPTRT00000018052	ENSPTRG00000009824_ex12/12	chr18	+	16073833	16076873	16073833	16076873	3041	16069747	16073832	4086	16076874	16081158	4285
Y	ENSPTRT00000018113	ENSPTRG00000009861_ex1/7	chr18	-	6725587	6728912	6725587	6728912	3326	6728913	6735666	6754	6713661	6725586	11926
Y	ENSPTRT00000018214	ENSPTRG00000009921_ex1/10	chr18	-	19407105	19408396	19407105	19408396	1292	19408397	19413796	5400	19400347	19407104	6758
Y	ENSPTRT00000018330	ENSPTRG00000009986_ex4/6	chr18	+	41148135	41151595	41148135	41151595	3461	41107455	41148134	40680	41151596	41194476	42881
Y	ENSPTRT00000018370	ENSPTRG00000010010_ex1/4	chr18	-	45146349	45148407	45146349	45148407	2059	45148408	45158710	10303	44918159	45146348	228190
Y	ENSPTRT00000018439	ENSPTRG00000010052_ex9/13	chr18	-	55003298	55004470	55003298	55004470	1173	55004471	55004699	229	55000514	55003297	2784
Y	ENSPTRT00000056599	ENSPTRG00000010075_ex7/7	chr18	+	58879822	58880109	58879822	58880109	288	58872175	58879821	7647	58880110	58950488	70379
Y	ENSPTRT00000018483	ENSPTRG00000010079_ex1/3	chr18	-	59631472	59636871	59631472	59636871	5400	59636872	59731850	94979	59433223	59631471	198249
Y	ENSPTRT00000018558	ENSPTRG00000010117_ex8/9	chr18	+	71942385	71943401	71942385	71943401	1017	71871489	71942384	70896	71943402	71943648	247
Y	ENSPTRT00000018804	ENSPTRG00000010239_ex1/3	chr19	-	2533133	2533806	2533133	2533806	674	2533807	2536498	2692	2532076	2533132	1057
Y	ENSPTRT00000019836	ENSPTRG00000010750_ex1/5	chr19	-	20513820	20514496	20513820	20514496	677	20514497	20514514	18	20422170	20513819	91650
N	ENSPTRT00000066822	ENSPTRG00000010752_ex4/4	chr19	+	21829576	21831375	21829576	21831375	1800	21824926	21829575	4650	21831376	22077773	246398
Y	ENSPTRT00000019883	ENSPTRG00000010763_ex1/5	chr19	-	22002517	22004202	22002517	22004202	1686	22004203	22012209	8007	21806007	22002516	196510
Y	ENSPTRT00000051006	ENSPTRG00000029066_ex1/4	chr19	-	22087377	22089242	22087377	22089242	1866	22089243	22093752	4510	22067505	22087376	19872
N	ENSPTRT00000068145	ENSPTRG00000029064_ex2/4	chr19	-	22454954	22455577	22454954	22455577	624	22455578	22464084	8507	22454828	22454953	126
Y	ENSPTRT00000049692	ENSPTRG00000010768_ex4/6	chr19	+	22596640	22598916	22596640	22598916	2277	22592197	22596639	4443	22598917	22679395	80479
Y	ENSPTRT00000019970	ENSPTRG00000010786_ex2/5	chr19	+	35788673	35790845	35788673	35790845	2173	35753447	35788672	35226	35790846	35837215	46370
Y	ENSPTRT00000020078	ENSPTRG00000010844_ex1/1	chr19	+	40957394	40958387	40957394	40958387	994	40937242	40957393	20152	40958388	40999834	41447
Y	ENSPTRT00000064464	ENSPTRG00000010896_ex5/5	chr19	+	42635546	42637866	42635546	42637866	2321	42624513	42635545	11033	42637867	42657295	19429
Y	ENSPTRT00000020648	ENSPTRG00000011111_ex4/4	chr19	+	49869871	49872292	49869871	49872292	2422	49869871	49869870	0	49872293	50034209	161917
N	ENSPTRT00000065793	ENSPTRG00000011112_ex2/5	chr19	-	49884609	49885048	49884609	49885052	444	49885053	49889847	4795	49884155	49884608	454
Y	ENSPTRT00000049473	ENSPTRG00000011113_ex1/4	chr19	-	49921940	49925324	49921940	49925324	3385	49925325	49929769	4445	49913408	49921939	8532
Y	ENSPTRT00000020809	ENSPTRG00000011198_ex1/8	chr19	+	52549483	52553164	52549483	52553164	3682	52466731	52549482	82752	52553165	52560621	7457
Y	ENSPTRT00000021495	ENSPTRG00000011536_ex1/5	chr19	-	62285891	62288764	62285891	62288764	2874	62288765	62291265	2501	62262466	62285890	23425
Y	ENSPTRT00000024606	ENSPTRG00000013238_ex3/3	chr20	+	6720422	6722441	6720422	6722441	2020	6716517	6720421	3905	6722442	6765369	42928
Y	ENSPTRT00000024610	ENSPTRG00000013241_ex32/32	chr20	+	8847129	8847357	8847129	8847357	229	8821991	8847128	25138	8847358	8959042	111685
Y	ENSPTRT00000025028	ENSPTRG00000013459_ex3/3	chr20	+	33740584	33743594	33740584	33743594	3011	33734622	33740583	5962	33743595	33749956	6362
Y	ENSPTRT00000025082	ENSPTRG00000013481_ex7/7	chr20	+	35269836	35272469	35269836	35272469	2634	35258089	35269835	11747	35272470	35382296	109827
Y	ENSPTRT00000025116	ENSPTRG00000013501_ex2/4	chr20	-	38473653	38476663	38473653	38476663	3011	38476664	38511067	34404	38473336	38473652	317
Y	ENSPTRT00000025380	ENSPTRG00000013620_ex3/4	chr20	+	48228131	48228190	48228131	48228190	60	48222073	48228130	6058	48228191	48228191	1
Y	ENSPTRT00000026531	ENSPTRG00000014201_ex1/10	chr22	-	26582684	26582866	26582684	26582866	183	26582867	26605789	22923	26030254	26582683	552430
Y	ENSPTRT00000026531	ENSPTRG00000014201_ex2/10	chr22	-	26628711	26629252	26628711	26629252	542	26629253	26629257	5	26605789	26628710	22922
N	ENSPTRT00000027002	ENSPTRG00000014452_ex4/4	chr22	-	41269289	41275084	41269289	41275084	5796	41275085	41361972	86888	41254216	41269288	15073
Y	ENSPTRT00000067538	ENSPTRG00000014511_ex31/33	chr22	-	45732162	45734984	45732162	45734984	2823	45734985	45735159	175	45695099	45732161	37063
Y	ENSPTRT00000027145	ENSPTRG00000014516_ex13/13	chr22	+	46386156	46386723	46386156	46386723	568	46351962	46386155	34194	46386724	46467089	80366
