human_range	vervet_range	#_blocks	overlap?	human_block(s)_positions	vervet_block(s)_positions	gene_duplicates	source_listings
88475078-88478708	98960734-98960934	1	NA	(88306379, 88544447)	(98810916, 99023477)	(H, V, C)	(homo_sapiens.9+, chlorocebus_sabaeus.12+, callithrix_jacchus.NTIC01000001.1-)
90895528-90898560	101347137-101349856	1	NA	(90861913, 91346835)	(101312265, 101779760)	(H, V, C)	(homo_sapiens.9-, chlorocebus_sabaeus.12-, callithrix_jacchus.NTIC01000001.1-)
92845031-92848551	104904136-104910031	2	continuous	(92846656, 92875026), (92810817, 92846655)	(104908139, 104936363), (104867509, 104908138)	(H, V, C), (H, V)	(homo_sapiens.9-, chlorocebus_sabaeus.12-, callithrix_jacchus.NTIC01000001.1-), (homo_sapiens.9-, chlorocebus_sabaeus.12-)
96500113-96503789	106633279-106633316	1	NA	(96336741, 96611010)	(106529619, 106790070)	(H, V, C)	(homo_sapiens.9+, chlorocebus_sabaeus.12-, callithrix_jacchus.NTIC01000001.1+)
99863620-99866891	39567851-39571384	1	NA	(99503991, 100049705)	(39382524, 39927590)	(H, V, C)	(homo_sapiens.9-, chlorocebus_sabaeus.12+, callithrix_jacchus.NTIC01000001.1+)
110168399-110172512	29371208-29375809	1	NA	(110095525, 110574942)	(28963725, 29446581)	(H, V, C)	(homo_sapiens.9-, chlorocebus_sabaeus.12+, callithrix_jacchus.NTIC01000001.1+)
128907157-128909321	9247463-9249628	1	NA	(128888138, 128945686)	(9215505, 9266935)	(H, V, C)	(homo_sapiens.9-, chlorocebus_sabaeus.12+, callithrix_jacchus.NTIC01000001.1+)
131258078-131261350	6878710-6881991	1	NA	(130995961, 131271798)	(6868067, 7147674)	(H, V, C)	(homo_sapiens.9-, chlorocebus_sabaeus.12+, callithrix_jacchus.NTIC01000001.1+)
6232895-6235545	6352126-6354932	2	continuous	(6235279, 6247387), (6018080, 6235278)	(6354521, 6366506), (6141585, 6354520)	(H, V, C), (H, V, C)	(homo_sapiens.10-, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01036611.1-), (homo_sapiens.10-, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01036611.1-)
7158624-7163910	7226294-7226435	2	continuous	(7131986, 7158719), (7158720, 7231828)	(), (7221248, 7294745)	(H, V), (H, V, C)	(homo_sapiens.10-, chlorocebus_sabaeus.9-), (homo_sapiens.10-, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01036611.1-)
11460510-11463849	11514089-11519562	1	NA	(11236363, 11755409)	(11296800, 11805612)	(H, V, C)	(homo_sapiens.10-, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01036611.1-)
12896625-12898679	12940633-12942685	1	NA	(12663950, 12998361)	(12711450, 13038671)	(H, V, C)	(homo_sapiens.10-, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01036611.1+)
16590616-16593496	16535572-16539859	1	NA	(16241853, 16728246)	(16189590, 16681016)	(H, V, C)	(homo_sapiens.10-, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01036611.1+)
27672874-27675415	27227973-27230574	1	NA	(27621256, 27833134)	(27176808, 27391085)	(H, V, C)	(homo_sapiens.10+, chlorocebus_sabaeus.9+, callithrix_jacchus.NTIC01036611.1-)
34109560-34111562	33396245-33398726	1	NA	(33732291, 34128130)	(33031259, 33415431)	(H, V, C)	(homo_sapiens.10+, chlorocebus_sabaeus.9+, callithrix_jacchus.NTIC01036611.1-)
43183250-43185308	38851161-38853707	1	NA	(43158794, 43201875)	(38827679, 38869895)	(H, V, C)	(homo_sapiens.10-, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01004446.1-)
60026298-60029826	71250613-71254245	1	NA	(59653736, 60197860)	(71081550, 71634130)	(H, V, C)	(homo_sapiens.10+, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01004446.1-)
70298970-70301508	61012839-61015356	1	NA	(70204884, 70340520)	(60967543, 61099040)	(H, V, C)	(homo_sapiens.10-, chlorocebus_sabaeus.9+, callithrix_jacchus.NTIC01004446.1+)
79382325-79386458	52072663-52076900	1	NA	(79071646, 79442382)	(52017255, 52389375)	(H, V, C)	(homo_sapiens.10+, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01004446.1-)
84513449-84518521	47324228-47324292	1	NA	(84433414, 84839541)	(47018638, 47389874)	(H, V, C)	(homo_sapiens.10+, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01004446.1-)
92048640-92052439	85331465-85331693	1	NA	(91967693, 92185175)	(85244375, 85472083)	(H, V, C)	(homo_sapiens.10+, chlorocebus_sabaeus.9+, callithrix_jacchus.NTIC01004446.1+)
103877558-103882841	96931886-96932083	1	NA	(103765270, 104314441)	(96808424, 97363293)	(H, V, C)	(homo_sapiens.10-, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01004446.1-)
118004916-118009225	110805021-110809652	1	NA	(117820326, 118023598)	(110625682, 110823702)	(H, V, C)	(homo_sapiens.10-, chlorocebus_sabaeus.9-, callithrix_jacchus.NTIC01004446.1-)
1274368-1277253	1123770-1125045	1	NA	(1259766, 1286018)	()	(H)	(homo_sapiens.11-)
6955690-6958047	57862897-57863739	1	NA	(6921721, 7376298)	(57463267, 57891885)	(H, V, C)	(homo_sapiens.11+, chlorocebus_sabaeus.1-, callithrix_jacchus.NTIC01001113.1+)
35229129-35232402	30039748-30043135	1	NA	(35221236, 35806436)	(29464082, 30050453)	(H, V, C)	(homo_sapiens.11-, chlorocebus_sabaeus.1+, callithrix_jacchus.NTIC01001113.1-)
35806358-35811053	29464089-29464160	1	NA	(35221236, 35806436)	(29464082, 30050453)	(H, V, C)	(homo_sapiens.11-, chlorocebus_sabaeus.1+, callithrix_jacchus.NTIC01001113.1-)
36462342-36465204	28771792-28774661	1	NA	(36065885, 36616392)	(28629254, 29188820)	(H, V, C)	(homo_sapiens.11-, chlorocebus_sabaeus.1+, callithrix_jacchus.NTIC01001113.1-)
70467856-70473439	4101146-4101717	1	NA	(70326599, 70536358)	(4036588, 4248194)	(H, V, C)	(homo_sapiens.11+, chlorocebus_sabaeus.1-, callithrix_jacchus.NTIC01001113.1+)
76140711-76144238	67349683-67353166	1	NA	(75777559, 76228894)	(66994134, 67440917)	(H, V, C)	(homo_sapiens.11+, chlorocebus_sabaeus.1+, callithrix_jacchus.NTIC01001113.1-)
76349956-76352794	67564076-67566007	1	NA	(76232244, 76542170)	(67444253, 67752693)	(H, V, C)	(homo_sapiens.11-, chlorocebus_sabaeus.1-, callithrix_jacchus.NTIC01001113.1+)
93144171-93148844	84398026-84398334	1	NA	(92750884, 93232992)	(84015169, 84479955)	(H, V, C)	(homo_sapiens.11-, chlorocebus_sabaeus.1-, callithrix_jacchus.NTIC01001113.1+)
95128377-95132651	86376771-86377974	2	continuous	(95082683, 95128383), (95128384, 95486619)	(), (86376779, 86731128)	(H, C), (H, V, C)	(homo_sapiens.11+, callithrix_jacchus.NTIC01001113.1-), (homo_sapiens.11-, chlorocebus_sabaeus.1-, callithrix_jacchus.NTIC01001113.1+)
20680030-20684107	20540658-20540900	1	NA	(20282390, 20751123)	(20152477, 20610372)	(H, V, C)	(homo_sapiens.12-, chlorocebus_sabaeus.11-, callithrix_jacchus.NTIC01000002.1-)
41069959-41072412	37329626-37333314	1	NA	(40964865, 41265638)	(37229200, 37518234)	(H, V, C)	(homo_sapiens.12-, chlorocebus_sabaeus.11-, callithrix_jacchus.NTIC01000002.1-)
45904934-45908040	42115877-42118892	1	NA	(45679425, 46106432)	(41888959, 42323238)	(H, V, C)	(homo_sapiens.12+, chlorocebus_sabaeus.11+, callithrix_jacchus.NTIC01000002.1+)
54948303-54950390	51042094-51044583	1	NA	(54718808, 54963201)	(50838581, 51057093)	(H, V)	(homo_sapiens.12+, chlorocebus_sabaeus.11+)
61708248-61710417	57597696-57600313	1	NA	(61595076, 62041646)	(57484872, 57942549)	(H, V, C)	(homo_sapiens.12+, chlorocebus_sabaeus.11+, callithrix_jacchus.NTIC01000002.1+)
62643982-62648636	58534471-58539304	1	NA	(62484181, 63025500)	(58375121, 58925045)	(H, V, C)	(homo_sapiens.12+, chlorocebus_sabaeus.11+, callithrix_jacchus.NTIC01000002.1+)
64142295-64147863	59850927-59851302	2	continuous	(64147717, 64222000), (63779941, 64147716)	(), (59468809, 59856377)	(H, V), (H, V, C)	(homo_sapiens.12+, chlorocebus_sabaeus.11+), (homo_sapiens.12-, chlorocebus_sabaeus.11-, callithrix_jacchus.NTIC01000002.1-)
69653609-69655813	65283137-65284047	1	NA	(69536031, 70048206)	(65163750, 65643537)	(H, V, C)	(homo_sapiens.12-, chlorocebus_sabaeus.11-, callithrix_jacchus.NTIC01000002.1+)
70430485-70434292	66007032-66007201	1	NA	(70048207, 70577530)	(65643538, 66158966)	(H, V, C)	(homo_sapiens.12-, chlorocebus_sabaeus.11-, callithrix_jacchus.NTIC01000002.1+)
88492793-88497181	83856156-83860555	1	NA	(88423372, 88889127)	(83793417, 84251605)	(H, V, C)	(homo_sapiens.12+, chlorocebus_sabaeus.11+, callithrix_jacchus.NTIC01000002.1+)
89588049-89591295	84989168-84989194	1	NA	(89544675, 89707496)	(84936227, 85102046)	(H, V, C)	(homo_sapiens.12-, chlorocebus_sabaeus.11-, callithrix_jacchus.NTIC01000002.1-)
104756949-104762014	99981125-99981977	1	NA	(104742590, 105188047)	(99966028, 100413995)	(H, V, C)	(homo_sapiens.12+, chlorocebus_sabaeus.11+, callithrix_jacchus.NTIC01000002.1-)
128705090-128707915	124084817-124087645	1	NA	(128616207, 128809932)	(123998013, 124190133)	(H, V, C)	(homo_sapiens.12+, chlorocebus_sabaeus.11+, callithrix_jacchus.NTIC01000002.1+)
128982929-128984964	124352917-124353079	1	NA	(128899258, 128991536)	()	(H)	(homo_sapiens.12-)
49308650-49310993	27225945-27228319	1	NA	(49304127, 49368254)	(27222093, 27282465)	(H, V, C)	(homo_sapiens.13-, chlorocebus_sabaeus.3-, callithrix_jacchus.NTIC01000001.1+)
51280450-51284241	29164345-29165152	1	NA	(51020645, 51321818)	(28899874, 29208757)	(H, V, C)	(homo_sapiens.13-, chlorocebus_sabaeus.3-, callithrix_jacchus.NTIC01000001.1-)
57631655-57635111	35428710-35428794	1	NA	(57386195, 57740853)	(35174637, 35530404)	(H, V, C)	(homo_sapiens.13+, chlorocebus_sabaeus.3+, callithrix_jacchus.NTIC01000001.1+)
57724612-57728931	35514057-35519023	1	NA	(57386195, 57740853)	(35174637, 35530404)	(H, V, C)	(homo_sapiens.13+, chlorocebus_sabaeus.3+, callithrix_jacchus.NTIC01000001.1+)
71437966-71440692	50590270-50593854	1	NA	(71044835, 71527593)	(50204671, 50682223)	(H, V, C)	(homo_sapiens.13-, chlorocebus_sabaeus.3-, callithrix_jacchus.NTIC01000001.1-)
97464205-97467998	76180860-76184664	1	NA	(96942112, 97468494)	(75676297, 76185152)	(H, V, C)	(homo_sapiens.13-, chlorocebus_sabaeus.3-, callithrix_jacchus.NTIC01000001.1-)
109782042-109786567	88071944-88074664	1	NA	(109647602, 110192804)	(87941909, 88454461)	(H, V, C)	(homo_sapiens.13-, chlorocebus_sabaeus.3-, callithrix_jacchus.NTIC01000001.1-)
37546905-37551259	14356785-14359882	1	NA	(37264835, 37695119)	(14068689, 14498639)	(H, V, C)	(homo_sapiens.14+, chlorocebus_sabaeus.24+, callithrix_jacchus.NTIC01038834.1-)
50242434-50247253	27314282-27317325	1	NA	(50219636, 50665180)	(27288819, 27744811)	(H, V, C)	(homo_sapiens.14-, chlorocebus_sabaeus.24-, callithrix_jacchus.NTIC01038834.1+)
26543546-26548134	55538513-55538855	1	NA	(26477314, 26666172)	(55427346, 55610478)	(H, V, C)	(homo_sapiens.15+, chlorocebus_sabaeus.26-, callithrix_jacchus.NTIC01035500.1-)
40087890-40091888	42911030-42915062	1	NA	(39996962, 40098861)	(42904027, 43006616)	(H, V, C)	(homo_sapiens.15+, chlorocebus_sabaeus.26-, callithrix_jacchus.NTIC01038834.1+)
53513741-53517754	29901561-29901669	1	NA	(53289146, 53834338)	(29598911, 30124848)	(H, V, C)	(homo_sapiens.15-, chlorocebus_sabaeus.26+, callithrix_jacchus.NTIC01038834.1+)
55202966-55205705	28225112-28227963	1	NA	(55190976, 55318901)	(28114152, 28236084)	(H, V, C)	(homo_sapiens.15-, chlorocebus_sabaeus.26+, callithrix_jacchus.NTIC01038834.1+)
73735431-73740642	9748336-9749062	2	continuous	(73739984, 73781414), (73723207, 73739983)	(9708110, 9748995), (9748996, 9764399)	(H, V, C), (H, V, C)	(homo_sapiens.15-, chlorocebus_sabaeus.26+, callithrix_jacchus.NTIC01038834.1-), (homo_sapiens.15-, chlorocebus_sabaeus.26+, callithrix_jacchus.NTIC01038834.1-)
77044017-77046927	6249837-6251896	1	NA	(76928800, 77174410)	(6130930, 6368979)	(H, V, C)	(homo_sapiens.15-, chlorocebus_sabaeus.26+, callithrix_jacchus.NTIC01038834.1+)
101175723-101178980	19632025-19635378	1	NA	(100944523, 101408935)	(19412468, 19868102)	(H, V, C)	(homo_sapiens.15+, chlorocebus_sabaeus.29+, callithrix_jacchus.NTIC01035500.1-)
2948688-2951208	2688435-2690582	1	NA	(2896452, 2963394)	(2641729, 2696289)	(H, V)	(homo_sapiens.16+, chlorocebus_sabaeus.5+)
3962649-3966966	3641348-3645654	2	continuous	(3965980, 3993359), (3793545, 3965979)	(3644668, 3676216), (3486038, 3644667)	(H, V), (H, V)	(homo_sapiens.16-, chlorocebus_sabaeus.5-), (homo_sapiens.16-, chlorocebus_sabaeus.5-)
9116668-9119698	8678136-8682105	2	continuous	(9118935, 9180870), (9073116, 9118934)	(8680395, 8732254), (8635429, 8680394)	(H, V), (H, V, C)	(homo_sapiens.16+, chlorocebus_sabaeus.5+), (homo_sapiens.16+, chlorocebus_sabaeus.5+, callithrix_jacchus.NTIC01004446.1-)
12568506-12574289	12031483-12031613	1	NA	(12366078, 12786430)	(11826908, 12231407)	(H, V, C)	(homo_sapiens.16-, chlorocebus_sabaeus.5-, callithrix_jacchus.NTIC01004446.1+)
12659799-12665115	12110125-12113862	1	NA	(12366078, 12786430)	(11826908, 12231407)	(H, V, C)	(homo_sapiens.16-, chlorocebus_sabaeus.5-, callithrix_jacchus.NTIC01004446.1+)
21249731-21252429	19378907-19380332	1	NA	(21194197, 21278195)	(19315974, 19409071)	(H, V, C)	(homo_sapiens.16+, chlorocebus_sabaeus.5+, callithrix_jacchus.NTIC01004446.1+)
27787529-27791467	25494991-25495086	1	NA	(27691377, 27835016)	(25395260, 25537446)	(H, V, C)	(homo_sapiens.16-, chlorocebus_sabaeus.5-, callithrix_jacchus.NTIC01004446.1-)
69462430-69466264	57937175-57940439	1	NA	(69385597, 69482175)	(57921218, 58019800)	(H, V, C)	(homo_sapiens.16+, chlorocebus_sabaeus.5-, callithrix_jacchus.NTIC01014446.1-)
1421353-1423650	1102347-1105411	1	NA	(1420673, 1455332)	(1102465, 1134288)	(H, V, C)	(homo_sapiens.17+, chlorocebus_sabaeus.16+, callithrix_jacchus.NTIC01034389.1-)
4269217-4272516	3742880-3746333	1	NA	(4269185, 4345776)	(3742962, 3826974)	(H, V, C)	(homo_sapiens.17+, chlorocebus_sabaeus.16+, callithrix_jacchus.NTIC01034389.1+)
9889370-9892103	9227245-9227581	1	NA	(9836381, 9981860)	(9172214, 9323150)	(H, V, C)	(homo_sapiens.17+, chlorocebus_sabaeus.16+, callithrix_jacchus.NTIC01034389.1+)
13494032-13496818	12835337-12835956	1	NA	(13182833, 13599082)	(12515608, 12933609)	(H, V, C)	(homo_sapiens.17-, chlorocebus_sabaeus.16-, callithrix_jacchus.NTIC01034389.1-)
38530024-38533431	67659467-67659599	2	continuous	(38531667, 38546343), (38500615, 38531140)	(67647018, 67661222), ()	(H, V, C), (H)	(homo_sapiens.17-, chlorocebus_sabaeus.16+, callithrix_jacchus.NTIC01034389.1-), (homo_sapiens.17+)
59397101-59401734	34042550-34047328	1	NA	(59330650, 59499220)	(33945262, 34107454)	(H, V, C)	(homo_sapiens.17+, chlorocebus_sabaeus.16-, callithrix_jacchus.NTIC01034389.1+)
64319415-64323845	56946129-56950999	1	NA	(64315614, 64357316)	(56910102, 56954030)	(H, V)	(homo_sapiens.17-, chlorocebus_sabaeus.16+)
73334384-73338940	48301294-48301648	1	NA	(73310942, 73358080)	(48281712, 48332157)	(H, V, C)	(homo_sapiens.17+, chlorocebus_sabaeus.16-, callithrix_jacchus.NTIC01034389.1+)
78223465-78225635	70235103-70235193	1	NA	(78223322, 78450690)	(70234961, 70450438)	(H, V, C)	(homo_sapiens.17+, chlorocebus_sabaeus.16+, callithrix_jacchus.NTIC01034389.1-)
82601303-82604607	74503176-74503373	1	NA	(82568023, 82627221)	()	(H)	(homo_sapiens.17-)
721592-724632	60088524-60088733	2	continuous	(724550, 746018), (706531, 724307)	(60088652, 60109250), ()	(H, V, C), (H)	(homo_sapiens.18+, chlorocebus_sabaeus.18+, callithrix_jacchus.NTIC01003335.1-), (homo_sapiens.18-)
9859228-9862556	68732890-68736771	1	NA	(9769735, 10235191)	(68644243, 69074300)	(H, V, C)	(homo_sapiens.18-, chlorocebus_sabaeus.18-, callithrix_jacchus.NTIC01003335.1+)
23598926-23601309	56941901-56944306	1	NA	(23555503, 24062155)	(56472665, 56986115)	(H, V, C)	(homo_sapiens.18-, chlorocebus_sabaeus.18+, callithrix_jacchus.NTIC01003335.1-)
44949881-44953340	35928171-35931631	1	NA	(44540104, 45205422)	(35680340, 36334973)	(H, V, C)	(homo_sapiens.18+, chlorocebus_sabaeus.18-, callithrix_jacchus.NTIC01003335.1+)
48919853-48921910	32022033-32024850	1	NA	(48883704, 49053092)	(31892760, 32059417)	(H, V, C)	(homo_sapiens.18-, chlorocebus_sabaeus.18+, callithrix_jacchus.NTIC01003335.1-)
58534834-58538224	21197724-21201112	1	NA	(58515031, 58957360)	(20770275, 21220465)	(H, V, C)	(homo_sapiens.18+, chlorocebus_sabaeus.18-, callithrix_jacchus.NTIC01003335.1+)
62384751-62387710	17382569-17385906	1	NA	(62372678, 62652037)	(17112665, 17397884)	(H, V, C)	(homo_sapiens.18+, chlorocebus_sabaeus.18-, callithrix_jacchus.NTIC01003335.1+)
63123346-63128759	16637763-16637895	1	NA	(63109518, 63187782)	(16579425, 16657050)	(H, V, C)	(homo_sapiens.18+, chlorocebus_sabaeus.18-, callithrix_jacchus.NTIC01003335.1+)
75063150-75065672	4844049-4846540	1	NA	(74975059, 75114616)	(4795999, 4936583)	(H, V, C)	(homo_sapiens.18-, chlorocebus_sabaeus.18+, callithrix_jacchus.NTIC01003335.1-)
2511220-2515147	2287894-2288020	1	NA	(2491294, 2546890)	(2262873, 2317519)	(H, V, C)	(homo_sapiens.19+, chlorocebus_sabaeus.6+, callithrix_jacchus.NTIC01011113.1+)
20004418-20007275	18457569-18458840	1	NA	(19938105, 20023200)	()	(H, V)	(homo_sapiens.19+, chlorocebus_sabaeus.6-)
21536280-21540668	19578733-19580532	0	NA				
21724041-21727989	19710360-19714476	0	NA				
21804949-21809807	19789493-19794893	1	NA	(21754221, 21829466)	()	(H)	(homo_sapiens.19-)
22179101-22181586	20200861-20201144	2	overlap	(22166287, 22196899), (22166287, 22196899)	(), ()	(H, H), (H, H)	(homo_sapiens.19-, homo_sapiens.19-), (homo_sapiens.19-, homo_sapiens.19-)
22313671-22317176	20334499-20334933	0	NA				
30443561-30445732	25494972-25497142	1	NA	(30295692, 30841129)	(25346493, 25890620)	(H, V, C)	(homo_sapiens.19+, chlorocebus_sabaeus.6+, callithrix_jacchus.NTIC01011113.1+)
35449715-35451767	30377426-30378419	1	NA	(35449489, 35543310)	(30377202, 30468176)	(H, V, C)	(homo_sapiens.19-, chlorocebus_sabaeus.6-, callithrix_jacchus.NTIC01011113.1-)
36445119-36450001	31307607-31308632	2	continuous	(36449082, 36547169), (36405669, 36449081)	(31307713, 31402996), (31273314, 31307712)	(H, V, C), (H, V)	(homo_sapiens.19-, chlorocebus_sabaeus.6-, callithrix_jacchus.NTIC01011113.1+), (homo_sapiens.19-, chlorocebus_sabaeus.6-)
44272899-44275317	37752429-37754276	1	NA	(44258476, 44288241)	(37739909, 37768341)	(H, V)	(homo_sapiens.19-, chlorocebus_sabaeus.6-)
44286348-44289196	37767320-37769296	2	continuous	(44288242, 44323572), (44258476, 44288241)	(37768342, 37795000), (37739909, 37768341)	(H, V, C), (H, V)	(homo_sapiens.19-, chlorocebus_sabaeus.6-, callithrix_jacchus.NTIC01011113.1-), (homo_sapiens.19-, chlorocebus_sabaeus.6-)
44326553-44329936	37798284-37801667	1	NA	(44323573, 44357441)	()	(H)	(homo_sapiens.19-)
46918676-46922356	40264301-40268170	1	NA	(46817360, 47064199)	(40172307, 40407808)	(H, V, C)	(homo_sapiens.19+, chlorocebus_sabaeus.6+, callithrix_jacchus.NTIC01011113.1+)
56439324-56442741	49002500-49007843	1	NA	(56424190, 56460721)	(48988828, 49021833)	(H, V, C)	(homo_sapiens.19+, chlorocebus_sabaeus.6+, callithrix_jacchus.NTIC01011113.1-)
6778245-6780280	31348807-31351119	1	NA	(6591400, 7183818)	(30944107, 31540279)	(H, V, C)	(homo_sapiens.20+, chlorocebus_sabaeus.2-, callithrix_jacchus.NTIC01034389.1+)
8881622-8884900	29242424-29245876	1	NA	(8631115, 9122732)	(29006738, 29493262)	(H, V, C)	(homo_sapiens.20-, chlorocebus_sabaeus.2+, callithrix_jacchus.NTIC01034389.1-)
36590910-36593952	57458947-57462000	1	NA	(36581670, 36609688)	(57447262, 57477157)	(H, V, C)	(homo_sapiens.20+, chlorocebus_sabaeus.2+, callithrix_jacchus.NTIC01034389.1-)
38089726-38092364	25659235-25661864	1	NA	(37938666, 38398278)	(25356421, 25811169)	(H, V, C)	(homo_sapiens.20+, chlorocebus_sabaeus.2-, callithrix_jacchus.NTIC01034389.1+)
41202057-41205066	22571077-22574087	1	NA	(41174639, 41234680)	(22540103, 22600642)	(H, V, C)	(homo_sapiens.20+, chlorocebus_sabaeus.2-, callithrix_jacchus.NTIC01034389.1+)
50749659-50753741	13215928-13219873	1	NA	(50749625, 50790810)	(13183494, 13219907)	(H, V, C)	(homo_sapiens.20+, chlorocebus_sabaeus.2-, callithrix_jacchus.NTIC01034389.1+)
27748277-27751096	10652938-10655787	1	NA	(27660417, 28223574)	(10567731, 11115749)	(H, V, C)	(homo_sapiens.22-, chlorocebus_sabaeus.19-, callithrix_jacchus.NTIC01000001.1+)
27796763-27801498	10702018-10706762	1	NA	(27660417, 28223574)	(10567731, 11115749)	(H, V, C)	(homo_sapiens.22-, chlorocebus_sabaeus.19-, callithrix_jacchus.NTIC01000001.1+)
42209651-42215341	24742619-24748310	1	NA	(42027955, 42413221)	(24568211, 24945186)	(H, V, C)	(homo_sapiens.22-, chlorocebus_sabaeus.19-, callithrix_jacchus.NTIC01000001.1-)
46533627-46537170	29026476-29027458	1	NA	(46500485, 46575092)	(28986089, 29067221)	(H, V)	(homo_sapiens.22-, chlorocebus_sabaeus.19-)
47173498-47175699	29681185-29684409	1	NA	(47155372, 47191389)	(29664133, 29695385)	(H, V)	(homo_sapiens.22-, chlorocebus_sabaeus.19-)
