#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
131	ENSCSAT00000014056.1	chr4	-	61338928	61400815	61342544	61400815	7	61338928,61355582,61358820,61374552,61383326,61400018,61400768,	61342654,61355739,61358997,61374757,61383456,61400107,61400815,	0	ENSCSAG00000015963.1	cmpl	cmpl	1,0,0,2,1,2,0,
143	ENSCSAT00000013323.1	chr4	-	73589494	73728353	73594026	73728353	9	73589494,73614140,73614831,73618888,73653558,73661623,73665598,73671517,73728348,	73594215,73614221,73614942,73619045,73653698,73661716,73665730,73671674,73728353,	0	ENSCSAG00000015226.1	cmpl	cmpl	0,0,0,2,0,0,0,2,0,
1173	ENSCSAT00000013004.1	chr4	-	77156042	77182699	77160675	77182571	4	77156042,77167229,77170339,77182568,	77160746,77167264,77170449,77182699,	0	ENSCSAG00000014909.1	cmpl	cmpl	1,2,0,0,
147	ENSCSAT00000012923.1	chr4	-	78047502	78491075	78050612	78490725	11	78047502,78070484,78164293,78168709,78170489,78208677,78239708,78283395,78330104,78353637,78490658,	78050762,78070640,78164478,78168854,78170645,78208859,78239822,78283524,78330134,78353766,78491075,	0	ENSCSAG00000014835.1	cmpl	cmpl	0,0,1,0,0,1,1,1,1,1,0,
75	ENSCSAT00000013444.1	chr23	+	2341855	2369294	2341855	2365495	4	2341855,2345152,2351203,2364826,	2341860,2345406,2351712,2369294,	0	ENSCSAG00000015350.1	cmpl	cmpl	0,2,1,0,
79	ENSCSAT00000013255.1	chr23	-	6526424	6563044	6528816	6550537	8	6526424,6538440,6539208,6539484,6546370,6548573,6550398,6562239,	6529091,6538726,6539385,6539676,6546676,6548767,6550544,6563044,	0	ENSCSAG00000015159.1	cmpl	cmpl	1,0,0,0,0,1,0,-1,
917	ENSCSAT00000010630.1	chr23	+	43598147	43638473	43598147	43638473	4	43598147,43610264,43612244,43638162,	43600712,43610323,43612333,43638473,	0	ENSCSAG00000012587.1	cmpl	cmpl	0,0,2,1,
133	ENSCSAT00000008430.1	chr23	-	63637108	63893370	63637108	63893060	9	63637108,63674330,63677882,63679763,63755477,63805213,63891637,63892740,63892983,	63637456,63674575,63678035,63679901,63755560,63805434,63891705,63892832,63893370,	0	ENSCSAG00000010344.1	cmpl	cmpl	0,1,1,1,2,0,1,2,0,
148	ENSCSAT00000006994.1	chr23	+	79141113	79304820	79143390	79304820	24	79141113,79143306,79144160,79199673,79212937,79218587,79243987,79247354,79248866,79252487,79254820,79256323,79259605,79265056,79267768,79277128,79278947,79283348,79290225,79292115,79293426,79298154,79301341,79303192,	79141379,79143420,79144250,79199809,79213110,79221144,79244112,79247625,79248976,79252563,79254939,79256467,79259729,79265257,79267948,79277285,79279153,79283461,79290495,79292232,79293568,79298261,79301546,79304820,	0	ENSCSAG00000008928.1	cmpl	cmpl	-1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,2,1,0,0,0,1,0,1,
150	ENSCSAT00000006524.1	chr23	-	80852330	81080218	80855603	81080029	21	80852330,80863800,80864811,80867198,80868226,80870170,80872405,80874639,80875184,80878113,80880003,80882110,80895555,80896917,80897471,80898220,80902139,80922324,80949414,81013929,81079903,	80856061,80863890,80864941,80867406,80868359,80870330,80872572,80874720,80875308,80878247,80880179,80882256,80895669,80897050,80897615,80898326,80902296,80922408,80949617,81014083,81080218,	0	ENSCSAG00000008473.1	cmpl	cmpl	1,1,0,2,1,0,1,1,0,1,2,0,0,2,2,1,0,0,1,0,0,
1	ENSCSAT00000005575.1	chr17	+	58660418	58783663	58661047	58783663	2	58660418,58782743,	58661300,58783663,	0	ENSCSAG00000007527.1	cmpl	cmpl	0,1,
1003	ENSCSAT00000005644.1	chr17	-	54853760	54866058	54855538	54865452	4	54853760,54862289,54864122,54865284,	54855902,54862344,54864246,54866058,	0	ENSCSAG00000007599.1	cmpl	cmpl	2,1,0,0,
117	ENSCSAT00000005945.1	chr17	-	46268288	46292092	46270897	46287940	7	46268288,46281346,46281555,46282518,46285208,46287529,46291888,	46271421,46281459,46281578,46282749,46285304,46287970,46292092,	0	ENSCSAG00000007893.1	cmpl	cmpl	1,2,0,0,0,0,-1,
850	ENSCSAT00000008561.1	chr17	-	34751944	34787632	34754661	34787488	8	34751944,34762576,34765738,34768052,34771206,34773560,34782259,34787377,	34754678,34762781,34765846,34768142,34771269,34774295,34782388,34787632,	0	ENSCSAG00000010478.1	cmpl	cmpl	1,0,0,0,0,0,0,0,
12	ENSCSAT00000010564.1	chr17	+	27106231	27361706	27191430	27358900	9	27106231,27191358,27194894,27204130,27251296,27258215,27259408,27280062,27358858,	27106373,27191445,27194985,27204270,27251372,27258328,27259516,27280173,27361706,	0	ENSCSAG00000012475.1	cmpl	cmpl	-1,0,0,1,0,1,0,0,0,
96	ENSCSAT00000010732.1	chr17	-	24663871	24815829	24667153	24815321	18	24663871,24681528,24685140,24686391,24688140,24694973,24698398,24712691,24713863,24715265,24717666,24718174,24720501,24741157,24751549,24762358,24790762,24815317,	24667195,24681592,24685322,24686493,24688253,24695116,24698564,24712754,24713900,24715370,24717761,24718253,24720689,24741278,24751650,24762512,24790923,24815829,	0	ENSCSAG00000012642.1	cmpl	cmpl	0,2,0,0,1,2,1,1,0,0,1,0,1,0,1,0,1,0,
711	ENSCSAT00000011298.1	chr17	-	16582781	16601534	16585857	16601492	3	16582781,16600244,16601342,	16588159,16600369,16601534,	0	ENSCSAG00000013206.1	cmpl	cmpl	2,0,0,
75	ENSCSAT00000015543.1	chr13	+	2405698	2619081	2405698	2618586	4	2405698,2451937,2528166,2618316,	2405930,2452473,2528298,2619081,	0	ENSCSAG00000017449.1	cmpl	cmpl	0,1,0,0,
138	ENSCSAT00000012805.1	chr13	+	68668320	68707885	68671898	68703993	8	68668320,68671887,68676200,68679815,68680739,68688251,68689283,68703868,	68668448,68672124,68676325,68680003,68680848,68688419,68689425,68707885,	0	ENSCSAG00000014711.1	cmpl	cmpl	-1,0,1,0,2,0,0,1,
136	ENSCSAT00000012973.1	chr13	+	66405520	66704696	66406125	66702496	8	66405520,66520701,66583340,66610773,66649345,66651121,66668093,66702337,	66406421,66520836,66583539,66610845,66649519,66651253,66668126,66704696,	0	ENSCSAG00000014881.1	cmpl	cmpl	0,2,2,0,0,0,0,0,
125	ENSCSAT00000014173.1	chr13	+	54945785	55070328	54948912	55068522	13	54945785,54948897,54956884,54959186,54963502,54967914,54969601,55031080,55054070,55055220,55056481,55057158,55067054,	54945948,54949216,54957201,54959268,54963703,54968040,54969721,55031255,55054273,55055424,55056564,55057304,55070328,	0	ENSCSAG00000016078.1	cmpl	cmpl	-1,0,1,0,1,1,1,1,2,1,1,0,2,
984	ENSCSAT00000014309.1	chr13	-	52396108	52410339	52398065	52399355	3	52396108,52398713,52410150,	52398572,52399371,52410339,	0	ENSCSAG00000016217.1	cmpl	cmpl	0,0,-1,
113	ENSCSAT00000014728.1	chr13	-	42270158	42418115	42271976	42417927	8	42270158,42329739,42348103,42384296,42388279,42397665,42413739,42417908,	42272173,42329887,42348216,42384457,42388416,42397805,42413871,42418115,	0	ENSCSAG00000016634.1	cmpl	cmpl	1,0,1,2,0,1,1,0,
100	ENSCSAT00000015198.1	chr13	-	28354587	28944119	28356810	28944027	74	28354587,28361057,28367176,28368747,28371471,28372073,28380074,28381007,28381297,28387923,28406265,28411910,28417689,28422417,28431771,28439530,28441913,28456315,28459511,28462372,28465926,28484472,28520233,28545856,28652299,28672413,28674797,28678948,28681144,28688308,28692133,28694253,28699042,28701565,28709657,28710679,28715873,28716437,28718006,28718793,28721780,28733758,28739175,28741537,28742434,28743789,28744924,28747095,28750015,28752674,28757934,28758875,28769332,28770872,28772767,28773110,28778288,28781733,28786291,28787298,28787760,28790826,28795364,28796966,28798099,28799667,28804532,28805387,28807872,28810253,28810715,28812375,28831927,28943948,	28356819,28361080,28367269,28368859,28371712,28372232,28380140,28381073,28381336,28388060,28406377,28412077,28417847,28422503,28431973,28439605,28441975,28456376,28459590,28462519,28466195,28484602,28520390,28546029,28652489,28672568,28675003,28679066,28681359,28688384,28692283,28694389,28699218,28701716,28709830,28710871,28716011,28716599,28718177,28718922,28721960,28733929,28739331,28741711,28742563,28743951,28745074,28747230,28750195,28752845,28758090,28758989,28769545,28771018,28772948,28773352,28778376,28781857,28786461,28787478,28787868,28790928,28795484,28797117,28798281,28799871,28804693,28805503,28808045,28810346,28810793,28812468,28831989,28944119,	0	ENSCSAG00000017106.1	cmpl	cmpl	0,1,1,0,2,2,2,2,2,0,2,0,1,2,1,1,2,1,0,0,1,0,2,0,2,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,
94	ENSCSAT00000015291.1	chr13	-	22597972	22739280	22597972	22739280	6	22597972,22651238,22653458,22711954,22727212,22739121,	22598256,22651396,22653556,22712108,22727292,22739280,	0	ENSCSAG00000017203.1	cmpl	incmpl	1,2,0,2,0,0,
94	ENSCSAT00000015307.1	chr13	-	22234011	22282562	22236640	22282473	6	22234011,22247945,22249116,22249420,22273254,22282371,	22236783,22248026,22249210,22249581,22274755,22282562,	0	ENSCSAG00000017214.1	cmpl	cmpl	1,1,0,1,0,0,
18	ENSCSAT00000011548.1	chr13	-	81691774	81882740	81691774	81796718	12	81691774,81699956,81731186,81743959,81745400,81752486,81754073,81777319,81778159,81796682,81820267,81882677,	81691987,81700150,81731559,81744042,81745459,81752558,81754147,81777489,81778196,81796735,81820311,81882740,	0	ENSCSAG00000013457.1	cmpl	cmpl	0,1,0,1,2,2,0,1,0,0,-1,-1,
88	ENSCSAT00000015786.1	chr28	+	15852690	15867303	15852690	15865429	5	15852690,15853244,15854105,15854756,15863111,	15853045,15853360,15854232,15854870,15867303,	0	ENSCSAG00000017690.1	cmpl	cmpl	0,1,0,1,1,
1	ENSCSAT00000011509.1	chr21	+	41691911	42010301	41692042	42008288	10	41691911,41707338,41731169,41800080,41807382,41829859,41847984,41848520,41883629,42008183,	41692122,41707615,41731319,41800185,41807428,41829957,41848077,41848613,41883761,42010301,	0	ENSCSAG00000013420.1	cmpl	cmpl	0,2,0,0,0,1,0,0,0,0,
108	ENSCSAT00000011709.1	chr21	-	36747895	36831953	36752092	36831839	5	36747895,36780716,36785500,36829561,36831611,	36752340,36780916,36785729,36831116,36831953,	0	ENSCSAG00000013609.1	cmpl	cmpl	1,2,1,0,0,
96	ENSCSAT00000012991.1	chr21	-	24255865	24500720	24257084	24500641	15	24255865,24267029,24324093,24331076,24348260,24352189,24355042,24358376,24364024,24431476,24435845,24439386,24468445,24499358,24500508,	24257266,24267160,24324430,24331406,24348306,24352294,24355183,24358486,24364124,24431559,24435936,24439469,24468545,24499444,24500720,	0	ENSCSAG00000014898.1	cmpl	cmpl	1,2,1,1,0,0,0,1,0,1,0,1,0,1,0,
74	ENSCSAT00000016385.1	chr28	+	1826384	1864827	1826384	1862392	5	1826384,1840794,1843363,1855598,1862242,	1826516,1840893,1843458,1855656,1864827,	0	ENSCSAG00000018288.1	incmpl	cmpl	0,0,0,2,0,
10	ENSCSAT00000016230.1	chr28	-	10462858	10494457	10465785	10494288	2	10462858,10494201,	10466442,10494457,	0	ENSCSAG00000018132.1	cmpl	cmpl	0,0,
127	ENSCSAT00000010624.1	chr21	-	56890182	57061232	56890182	57061015	51	56890182,56891720,56892761,56894431,56896965,56898677,56899883,56901871,56902291,56902728,56904502,56906362,56910144,56913537,56914259,56915005,56915242,56916317,56917313,56919952,56922224,56923300,56930265,56931030,56934670,56936065,56937989,56939013,56940060,56948466,56956193,56958906,56959473,56960759,56962883,56973280,56974895,56980159,56980795,56986353,56987188,56989161,56990519,56999352,57006728,57007740,57009462,57010304,57022881,57029277,57060967,	56890220,56891860,56892891,56894517,56897198,56898878,56900066,56901977,56902500,56903397,56904653,56906582,56910289,56913726,56914451,56915127,56915306,56916803,56917454,56921026,56922404,56923453,56930370,56931207,56934790,56936298,56938028,56939226,56940223,56948699,56956399,56959010,56959614,56960984,56963240,56973373,56974992,56980358,56980910,56986439,56987327,56989241,56990733,57001740,57006926,57007896,57009633,57010358,57022926,57029535,57061232,	0	ENSCSAG00000012537.1	cmpl	cmpl	1,2,1,2,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
685	ENSCSAT00000015923.1	chr28	+	13165001	13195800	13165462	13193043	6	13165001,13175131,13175954,13181163,13181447,13192459,	13165855,13175227,13176185,13181186,13181545,13195800,	0	ENSCSAG00000017827.1	cmpl	cmpl	0,0,0,0,2,1,
1235	ENSCSAT00000009017.1	chr21	+	85197536	85206588	85197621	85204109	3	85197536,85198099,85203958,	85197771,85198287,85206588,	0	ENSCSAG00000010925.1	cmpl	cmpl	0,0,2,
19	ENSCSAT00000008868.1	chr21	+	89092905	89133507	89092905	89132490	2	89092905,89132435,	89094020,89133507,	0	ENSCSAG00000010780.1	cmpl	cmpl	0,2,
1298	ENSCSAT00000008334.1	chr21	-	93486701	93507056	93487706	93506278	2	93486701,93505255,	93488525,93507056,	0	ENSCSAG00000010249.1	cmpl	cmpl	0,0,
166	ENSCSAT00000007972.1	chr21	+	98268394	98377096	98276459	98375214	11	98268394,98276453,98289072,98294948,98307766,98326577,98327861,98328967,98336717,98347114,98375050,	98268856,98276682,98289187,98295075,98307907,98326736,98328059,98329069,98336875,98347239,98377096,	0	ENSCSAG00000009893.1	cmpl	cmpl	-1,0,1,2,0,0,0,0,0,2,1,
1383	ENSCSAT00000006970.1	chr21	-	104605591	104657866	104609104	104657405	4	104605591,104629706,104630618,104657333,	104609191,104629790,104630732,104657866,	0	ENSCSAG00000008898.1	cmpl	cmpl	0,0,0,0,
1482	ENSCSAT00000005060.1	chr21	-	117673144	117683891	117674147	117683450	3	117673144,117680697,117683401,	117676102,117680856,117683891,	0	ENSCSAG00000007020.1	cmpl	cmpl	1,1,0,
1525	ENSCSAT00000004554.1	chr21	+	123229815	123241481	123229815	123241481	2	123229815,123241148,	123230556,123241481,	0	ENSCSAG00000006516.1	cmpl	cmpl	0,0,
9	ENSCSAT00000015096.1	chr8	+	6190046	6425131	6190357	6425131	14	6190046,6192994,6198522,6215138,6219691,6221982,6225135,6227497,6238207,6259621,6262683,6281519,6403753,6425075,	6190379,6193086,6198641,6215226,6219806,6222126,6225225,6228673,6238317,6259659,6262846,6281597,6403991,6425131,	0	ENSCSAG00000017002.1	cmpl	cmpl	0,1,0,2,0,1,1,1,1,0,2,0,0,1,
82	ENSCSAT00000014954.1	chr8	+	10159420	10268323	10159498	10265634	3	10159420,10254822,10265600,	10162496,10254949,10268323,	0	ENSCSAG00000016857.1	cmpl	cmpl	0,1,2,
10	ENSCSAT00000014968.1	chr8	-	9305871	9524104	9305871	9523664	27	9305871,9309428,9311917,9312545,9319897,9321389,9322935,9331749,9332524,9336165,9345370,9345771,9347429,9350160,9354456,9360867,9371251,9371421,9372962,9377606,9378346,9379837,9403631,9404449,9461281,9497734,9522991,	9305958,9309585,9312104,9312651,9319972,9321487,9323056,9331832,9332762,9336354,9345480,9345991,9347595,9350306,9354536,9361039,9371330,9371513,9373084,9377793,9378413,9379932,9403707,9404486,9461377,9497959,9524104,	0	ENSCSAG00000016874.1	cmpl	cmpl	0,2,1,0,0,1,0,1,0,0,1,0,2,0,1,0,2,0,1,0,2,0,2,1,1,1,0,
647	ENSCSAT00000014996.1	chr8	+	8172081	8204775	8172085	8202167	2	8172081,8201202,	8172269,8204775,	0	ENSCSAG00000016899.1	cmpl	cmpl	0,1,
643	ENSCSAT00000015013.1	chr8	+	7666431	7689746	7666897	7686720	2	7666431,7686456,	7667278,7689746,	0	ENSCSAG00000016918.1	cmpl	cmpl	0,0,
705	ENSCSAT00000014842.1	chr8	-	15741293	15853293	15741293	15853139	14	15741293,15742340,15745154,15748534,15748777,15749907,15751204,15770229,15779767,15808177,15810728,15818869,15840928,15851045,	15741507,15742438,15745271,15748630,15748851,15750013,15751407,15770296,15779982,15808216,15810863,15819031,15841124,15853293,	0	ENSCSAG00000016743.1	cmpl	cmpl	2,0,0,0,1,0,1,0,1,1,1,1,0,0,
97	ENSCSAT00000014049.1	chr8	-	25975121	26097102	25977380	26092077	9	25975121,25982630,26007777,26010555,26013069,26025751,26070953,26091965,26096699,	25977517,25982828,26007834,26010654,26013150,26026426,26071082,26092092,26097102,	0	ENSCSAG00000015956.1	cmpl	cmpl	1,1,1,1,1,1,1,0,-1,
1035	ENSCSAT00000012377.1	chr8	+	59046139	59090425	59046729	59085953	5	59046139,59047234,59053146,59062022,59085929,	59046753,59047259,59053232,59063621,59090425,	0	ENSCSAG00000014280.1	cmpl	cmpl	0,0,1,0,0,
136	ENSCSAT00000011913.1	chr8	+	66441549	66463496	66441824	66463433	2	66441549,66462804,	66442005,66463496,	0	ENSCSAG00000013824.1	cmpl	cmpl	0,1,
166	ENSCSAT00000010006.1	chr8	+	98001431	98082132	98001735	98082132	3	98001431,98065436,98082021,	98001895,98065603,98082132,	0	ENSCSAG00000011912.1	cmpl	cmpl	0,1,0,
194	ENSCSAT00000007997.1	chr8	-	127008618	127103300	127010730	127103224	12	127008618,127022217,127046579,127047716,127051451,127056928,127059614,127066368,127071724,127084469,127088982,127103214,	127010905,127022303,127046675,127047786,127051511,127057006,127059797,127066592,127071897,127084547,127089150,127103300,	0	ENSCSAG00000009917.1	cmpl	cmpl	2,0,0,2,2,2,2,0,1,1,1,0,
205	ENSCSAT00000006275.1	chr8	-	138913807	138953862	138917755	138953153	4	138913807,138952096,138952630,138953120,	138919494,138952210,138952760,138953862,	0	ENSCSAG00000008222.1	cmpl	cmpl	1,1,0,0,
123	ENSCSAT00000007880.1	chr12	+	52526980	52725710	52600558	52725710	4	52526980,52600360,52697759,52725680,	52527149,52600976,52697962,52725710,	0	ENSCSAG00000009793.1	cmpl	cmpl	-1,0,1,0,
1206	ENSCSAT00000006408.1	chr12	-	81454393	81480094	81454393	81480094	2	81454393,81479589,	81454623,81480094,	0	ENSCSAG00000008358.1	cmpl	cmpl	1,0,
18	ENSCSAT00000006371.1	chr12	-	81609228	81925984	81609228	81919542	26	81609228,81610919,81622441,81625744,81626060,81663690,81671270,81676157,81683241,81688532,81691483,81692661,81693827,81697778,81707750,81711616,81713162,81754926,81818703,81842164,81884726,81899527,81902895,81919539,81921065,81925761,	81609251,81611203,81622574,81625944,81626211,81663865,81671522,81676286,81683382,81688700,81691712,81692951,81693857,81697919,81707801,81711751,81713263,81754999,81818827,81842339,81884898,81899652,81903109,81919744,81921145,81925984,	0	ENSCSAG00000008347.1	cmpl	cmpl	1,2,1,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,0,1,0,0,-1,-1,
164	ENSCSAT00000005525.1	chr12	+	95479446	95620364	95479818	95620364	12	95479446,95510994,95511183,95517143,95519915,95532714,95533390,95536768,95551117,95554199,95561318,95620326,	95480030,95511069,95511255,95517212,95520070,95532851,95533523,95537074,95551153,95554300,95561418,95620364,	0	ENSCSAG00000007484.1	cmpl	cmpl	0,2,2,2,2,1,0,1,1,1,0,1,
167	ENSCSAT00000005381.1	chr12	+	98913797	98960934	98913955	98960934	5	98913797,98933849,98947436,98953289,98960734,	98914007,98933898,98947690,98953523,98960934,	0	ENSCSAG00000007339.1	cmpl	cmpl	0,1,2,1,1,
169	ENSCSAT00000005323.1	chr12	+	101260060	101349856	101295661	101347210	14	101260060,101295620,101297195,101312595,101314997,101315456,101317549,101325627,101326094,101329005,101330193,101339502,101340289,101347137,	101260138,101296078,101297356,101312734,101315076,101315506,101317618,101325715,101326272,101329215,101330383,101339643,101340402,101349856,	0	ENSCSAG00000007280.1	cmpl	cmpl	-1,0,0,2,0,1,0,0,1,2,2,0,0,2,
1385	ENSCSAT00000005019.1	chr12	-	104904136	104939414	104907710	104939144	5	104904136,104917370,104917752,104936350,104939123,	104910031,104917463,104917879,104936395,104939414,	0	ENSCSAG00000006974.1	cmpl	cmpl	1,1,0,0,0,
1398	ENSCSAT00000004757.1	chr12	+	106572014	106633316	106572080	106633316	14	106572014,106573411,106574040,106576139,106586773,106596098,106598854,106603457,106603840,106614073,106614378,106615184,106627328,106633279,	106572129,106573502,106574116,106576232,106586850,106596165,106598917,106603545,106604071,106614212,106614538,106615282,106627445,106633316,	0	ENSCSAG00000006736.1	cmpl	cmpl	0,1,2,0,0,2,0,0,1,1,2,0,2,2,
110	ENSCSAT00000009175.1	chr12	-	39567851	39606837	39571136	39606796	7	39567851,39585945,39588722,39600114,39600749,39604588,39606765,	39571384,39586124,39588922,39600287,39600879,39605541,39606837,	0	ENSCSAG00000011090.1	cmpl	cmpl	1,2,0,1,0,1,0,
101	ENSCSAT00000009851.1	chr12	-	29371208	29604909	29375710	29594034	7	29371208,29382001,29387911,29405364,29525738,29593349,29604632,	29375809,29382040,29388090,29407792,29525824,29594045,29604909,	0	ENSCSAG00000011760.1	cmpl	cmpl	0,0,1,0,1,0,-1,
655	ENSCSAT00000012550.1	chr12	-	9234737	9272565	9239385	9249620	4	9234737,9247463,9268625,9272503,	9239661,9249628,9268732,9272565,	0	ENSCSAG00000014458.1	cmpl	cmpl	0,0,-1,-1,
645	ENSCSAT00000012811.1	chr12	-	7909845	7929589	7921664	7929576	6	7909845,7921647,7924511,7924935,7927526,7929390,	7914805,7921763,7924589,7925024,7927605,7929589,	0	ENSCSAG00000014716.1	cmpl	cmpl	-1,0,0,1,0,0,
637	ENSCSAT00000012924.1	chr12	+	6863188	6881991	6863758	6879239	2	6863188,6878710,	6864081,6881991,	0	ENSCSAG00000014833.1	cmpl	cmpl	0,2,
633	ENSCSAT00000011627.1	chr9	+	6332569	6354932	6332610	6352133	15	6332569,6334181,6335033,6335613,6336052,6338487,6339582,6340301,6340541,6341741,6342842,6343033,6345121,6347114,6352126,	6332695,6334278,6335100,6335688,6336109,6338612,6339790,6340448,6340646,6341871,6342905,6343098,6345295,6347137,6354932,	0	ENSCSAG00000013532.1	cmpl	cmpl	0,1,2,0,0,0,2,0,0,0,1,1,0,0,2,
9	ENSCSAT00000011582.1	chr9	-	7226294	7445892	7226297	7445892	20	7226294,7233551,7234486,7235085,7238552,7251120,7259991,7263461,7265498,7268844,7284081,7291195,7306417,7311415,7339860,7347230,7349241,7431344,7434297,7445792,	7226435,7233680,7234750,7235252,7238728,7251230,7260131,7263532,7265541,7268958,7284208,7291278,7306565,7311517,7339958,7347477,7349330,7431585,7434392,7445892,	0	ENSCSAG00000013499.1	incmpl	cmpl	0,0,0,1,2,0,1,2,1,1,0,1,0,0,1,0,1,0,1,0,
10	ENSCSAT00000011482.1	chr9	-	11514089	11670301	11518153	11656721	15	11514089,11539021,11542114,11542312,11542962,11546277,11548004,11550249,11561150,11569370,11578388,11584990,11587083,11656717,11670082,	11519562,11539174,11542214,11542378,11543057,11546398,11548053,11550359,11561258,11569451,11578428,11585073,11587151,11656804,11670301,	0	ENSCSAG00000013395.1	cmpl	cmpl	1,1,0,0,1,0,2,0,0,0,2,0,1,0,-1,
85	ENSCSAT00000011313.1	chr9	-	12940633	13042127	12942421	13041949	3	12940633,13038647,13041815,	12942685,13038822,13042127,	0	ENSCSAG00000013223.1	cmpl	cmpl	0,2,0,
88	ENSCSAT00000010857.1	chr9	-	16535572	16768593	16539756	16768166	9	16535572,16645108,16704869,16705254,16707195,16717319,16735726,16768057,16768407,	16539859,16645241,16704984,16705337,16707314,16717440,16735777,16768169,16768593,	0	ENSCSAG00000012762.1	cmpl	cmpl	2,1,0,1,2,1,1,0,-1,
12	ENSCSAT00000009836.1	chr9	-	27227973	27298267	27230387	27298151	5	27227973,27230679,27291071,27291835,27298043,	27230574,27230713,27291407,27291989,27298267,	0	ENSCSAG00000011743.1	cmpl	cmpl	2,1,1,0,0,
1	ENSCSAT00000009473.1	chr9	-	33396245	33803997	33398332	33755234	23	33396245,33406657,33418761,33557485,33572289,33604774,33618944,33624042,33625106,33629300,33635595,33645176,33646143,33659465,33661858,33664963,33669341,33670862,33685027,33687487,33735320,33755057,33803748,	33398726,33406785,33418882,33557728,33572400,33605006,33619172,33624087,33625258,33629490,33635746,33645347,33646332,33659504,33661987,33665103,33669724,33670988,33685111,33687579,33735452,33755236,33803997,	0	ENSCSAG00000011392.1	cmpl	cmpl	2,0,2,2,2,1,1,1,2,1,0,0,0,0,0,1,2,2,2,0,0,0,-1,
881	ENSCSAT00000009049.1	chr9	+	38807262	38853707	38824103	38851454	8	38807262,38823840,38827599,38829375,38832739,38835903,38844978,38851161,	38807328,38824764,38827816,38829477,38832918,38835998,38845060,38853707,	0	ENSCSAG00000010963.1	cmpl	cmpl	-1,0,1,2,2,1,0,1,
140	ENSCSAT00000005422.1	chr9	+	70893259	71254245	70893905	71238072	48	70893259,71004072,71004566,71004842,71013454,71020004,71022064,71044229,71065907,71071174,71073539,71076313,71079174,71080872,71082761,71083143,71092625,71098385,71106625,71106813,71107410,71112874,71141485,71143240,71146223,71166342,71171578,71174568,71192825,71194288,71195878,71196304,71197496,71198377,71198938,71200491,71204661,71213104,71216776,71217802,71220934,71221510,71224874,71229353,71236422,71236637,71238003,71250613,	70894019,71004174,71004665,71004941,71013553,71020190,71022163,71044328,71066006,71071372,71073638,71076412,71079273,71081070,71082860,71083242,71092823,71098484,71106724,71106912,71107506,71112947,71141609,71143252,71146326,71166449,71171803,71174723,71193037,71194496,71195975,71196533,71197622,71198500,71198965,71200573,71207244,71213179,71216908,71217946,71221243,71221601,71225253,71229440,71236506,71236697,71238091,71254245,	0	ENSCSAG00000007379.1	cmpl	cmpl	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,1,0,1,2,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,-1,
131	ENSCSAT00000006338.1	chr9	+	60922272	61015356	60922410	61012994	4	60922272,60967360,60986766,61012839,	60922492,60967510,60986934,61015356,	0	ENSCSAG00000008285.1	cmpl	cmpl	0,1,1,1,
122	ENSCSAT00000007400.1	chr9	+	52014014	52076900	52014206	52072777	4	52014014,52027019,52066011,52072663,	52014452,52027220,52066176,52076900,	0	ENSCSAG00000009325.1	cmpl	cmpl	0,0,0,0,
118	ENSCSAT00000007697.1	chr9	-	47324228	47506688	47324228	47466314	12	47324228,47330451,47337423,47353647,47360827,47366923,47387008,47400415,47408362,47463548,47464897,47506249,	47324292,47330491,47337508,47353737,47360914,47367007,47387204,47400578,47408453,47463745,47466353,47506688,	0	ENSCSAG00000009619.1	cmpl	cmpl	2,1,0,0,0,0,2,1,0,1,0,-1,
154	ENSCSAT00000004620.1	chr9	-	85331465	85525688	85331465	85525677	9	85331465,85360869,85370905,85390816,85429979,85431898,85467553,85479016,85524660,	85331693,85361051,85371020,85390935,85430069,85432066,85467610,85479107,85525688,	0	ENSCSAG00000006579.1	cmpl	cmpl	0,1,0,1,1,1,1,0,0,
1324	ENSCSAT00000003351.1	chr9	-	96915950	96967394	96931925	96967332	10	96915950,96931886,96938640,96941694,96947071,96948414,96949601,96954967,96960251,96967199,	96920132,96932083,96938713,96941817,96947243,96948538,96949763,96955033,96960347,96967394,	0	ENSCSAG00000005318.1	cmpl	cmpl	-1,1,0,0,2,1,1,1,1,0,
1430	ENSCSAT00000002821.1	chr9	-	110805021	110846830	110809424	110846244	5	110805021,110815499,110839017,110840155,110845891,	110809652,110815545,110839486,110840598,110846830,	0	ENSCSAG00000004789.1	cmpl	cmpl	0,2,1,2,0,
