name	exon	chr	strand	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	hard_div_5p	soft_div_5p	5p_callability	hard_div_3p	soft_div_3p	3p_callability
ENSCSAT00000001496.1	ENSCSAG00000003469.1_ex1	chr1	-	84398335	84400978	84010740	84398025	0.0	0.04165059776320864	2593	0.0	0.030102399250633342	328811
ENSCSAT00000001320.1	ENSCSAG00000003290.1_ex2	chr1	+	86357359	86376770	86377975	86443967	NA	NA	0	0.0	0.03296236827049075	54183
ENSCSAT00000006085.1	ENSCSAG00000008069.1_ex16	chr11	+	20531442	20540657	20540901	20548373	0.0	0.02552160953800298	5368	0.0	0.022873982598933484	7126
ENSCSAT00000005162.1	ENSCSAG00000007119.1_ex23	chr11	+	37310994	37329625	37333315	37514404	0.0	0.029612756264236904	16243	0.0	0.033954499422696106	155031
ENSCSAT00000004790.1	ENSCSAG00000006749.1_ex17	chr11	+	42109943	42115876	42118893	42777906	0.0	0.04373024236037935	3796	0.0	0.026505604143749428	533623
ENSCSAT00000003390.1	ENSCSAG00000005358.1_ex1	chr11	-	51044584	51049821	50903220	51042093	0.0	0.0	4851	0.0	0.0	103336
ENSCSAT00000002572.1	ENSCSAG00000004540.1_ex1	chr11	-	57600314	57621156	56937067	57597695	0.0	0.024858242203321182	19752	0.0	0.03199389697162525	553168
ENSCSAT00000002544.1	ENSCSAG00000004515.1_ex1	chr11	-	58539305	58548742	58514468	58534470	0.0	0.020094829532625876	8858	0.0	0.0348635166190236	17841
ENSCSAT00000002529.1	ENSCSAG00000004499.1_ex22	chr11	+	59844818	59850926	59851303	59875905	0.0	0.009915534337128168	5446	0.0	0.006633726781956263	21858
ENSCSAT00000002221.1	ENSCSAG00000004199.1_ex1	chr11	-	65284048	65293094	65261005	65283136	0.0	0.03662355343771273	7345	0.0	0.026146676477802305	20385
ENSCSAT00000002204.1	ENSCSAG00000004174.1_ex3	chr11	+	65992897	66007031	66007202	66244905	0.0	0.03052982586143016	13495	0.0	0.030851629608539394	186149
ENSCSAT00000001811.1	ENSCSAG00000003781.1_ex1	chr11	-	83860556	83864746	83685376	83856155	0.0	0.034274193548387094	3968	0.0	0.037157351689003054	139757
ENSCSAT00000001793.1	ENSCSAG00000003766.1_ex1	chr11	-	84989195	84992808	84953561	84989167	0.0	0.023615406241214505	3557	0.0	0.03277314126748218	26241
ENSCSAT00000001026.1	ENSCSAG00000002999.1_ex3	chr11	+	99897950	99981124	99981978	100029068	0.0	0.009285692359640238	65154	0.0	0.025934382886672276	41605
ENSCSAT00000016569.1	ENSCSAG00000001960.1_ex6	chr11	+	124081013	124084816	124087646	124168492	0.0	0.05086342229199372	3185	0.0	0.03203319502074689	66275
ENSCSAT00000016581.1	ENSCSAG00000001950.1_ex11	chr11	+	124340134	124352916	124353080	124936197	NA	NA	0	0.0	0.029453021453382338	465521
ENSCSAT00000015816.1	ENSCSAG00000017717.1_ex1	chr3	-	27228320	27237537	26831782	27225944	0.0	0.044839955849889625	7248	0.0	0.023848102421324083	306733
ENSCSAT00000015792.1	ENSCSAG00000017698.1_ex2	chr3	+	29150615	29164344	29165153	29196600	0.0	0.03129806213472778	13004	0.0	0.03682375523955028	25527
ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex2	chr3	+	35428647	35428709	35428795	35443064	0.0	0.0	63	0.0	0.03526266348724619	13839
ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex5	chr3	+	35485879	35514056	35519024	35652591	0.0	0.03378581070946453	26668	0.0	0.033369943882892	116542
ENSCSAT00000015724.1	ENSCSAG00000017630.1_ex1	chr3	-	50593855	50612176	49838326	50590269	0.0	0.03686816050026055	15352	0.0	0.03461593564532993	656114
ENSCSAT00000015616.1	ENSCSAG00000017521.1_ex2	chr3	+	76163771	76180859	76184665	76188408	0.0	0.030803170193643273	12239	0.0	0.050314465408805034	477
ENSCSAT00000015565.1	ENSCSAG00000017471.1_ex2	chr3	-	88074665	88218872	88059926	88071943	0.0	0.035273521595470356	126809	0.0	0.03527553527553528	11396
ENSCSAT00000013549.1	ENSCSAG00000015453.1_ex13	chr24	+	14330986	14356784	14359883	14395843	0.0	0.01626233004532125	18755	0.0	0.03019182137790662	32426
ENSCSAT00000013268.1	ENSCSAG00000015176.1_ex1	chr24	-	27317326	27326356	27308212	27314281	0.0	0.05955926146515783	5037	0.0	0.034805617748829634	4913
ENSCSAT00000004471.1	ENSCSAG00000006440.1_ex6	chr26	+	55532181	55538512	55538856	55738007	0.0	0.02742292624765798	5871	0.0	0.007856375076993683	165598
ENSCSAT00000005382.1	ENSCSAG00000007337.1_ex4	chr26	+	42904872	42911029	42915063	42938793	0.0	0.032895858189875574	5867	0.0	0.037554934079105075	20024
ENSCSAT00000009651.1	ENSCSAG00000011567.1_ex19	chr26	+	29898821	29901560	29901670	29903033	0.0	0.02503793626707132	2636	0.0	0.03934669636228656	1347
ENSCSAT00000009736.1	ENSCSAG00000011625.1_ex5	chr26	+	28216794	28225111	28227964	28229065	0.0	0.03190087002372792	7586	0.0	0.02968036529680365	876
ENSCSAT00000012130.1	ENSCSAG00000014038.1_ex2	chr26	+	9743221	9748335	9749063	9800860	0.0	0.03245109321058688	4345	0.0	0.03441470607800962	45097
ENSCSAT00000012817.1	ENSCSAG00000014721.1_ex7	chr26	+	6247111	6249836	6251897	6286187	0.0	0.030359820089955022	2668	0.0	0.04097066947257662	30412
ENSCSAT00000014943.1	ENSCSAG00000016847.1_ex1	chr29	-	19635379	19663347	19338135	19632024	0.0	0.02991605999124796	25137	0.0	0.02942072694315092	255976
ENSCSAT00000008435.1	ENSCSAG00000010349.1_ex7	chr5	+	2684689	2688434	2690583	2693996	0.0	0.0	217	0.0	0.0	2950
ENSCSAT00000007722.1	ENSCSAG00000009642.1_ex1	chr5	-	3645655	3650698	3591146	3641347	0.0	0.0	4325	0.0	0.0	37232
ENSCSAT00000006728.1	ENSCSAG00000008664.1_ex4	chr5	+	8671475	8678135	8682106	8718690	0.0	0.02901050650776227	6377	0.0	0.0	27332
ENSCSAT00000006243.1	ENSCSAG00000008198.1_ex21	chr5	+	12008523	12031482	12031614	12190059	0.0	0.07321673525377229	17496	0.0	0.04233617221703176	129511
ENSCSAT00000006226.1	ENSCSAG00000008177.1_ex1	chr5	-	12113863	12133575	11933696	12110124	0.0	0.02364809893149645	18437	0.0	0.05073758394475005	141611
ENSCSAT00000005396.1	ENSCSAG00000007352.1_ex2	chr5	+	19369031	19378906	19380333	19423131	0.0	0.03384157679434734	5378	0.0	0.02681863895407308	35796
ENSCSAT00000004440.1	ENSCSAG00000006403.1_ex1	chr5	-	25495087	25502614	25460593	25494990	0.0	0.040908449710819576	7089	0.0	0.04240832603832312	30843
ENSCSAT00000002176.1	ENSCSAG00000004146.1_ex1	chr5	-	57940440	57942250	57887940	57937174	0.0	0.028716216216216218	1776	0.0	0.02586775768773921	15154
ENSCSAT00000012157.1	ENSCSAG00000014068.1_ex1	chr16	-	1105412	1112089	1094680	1102346	0.0	0.024586173320350537	4108	0.0	0.020775069916100678	5006
ENSCSAT00000011290.1	ENSCSAG00000013192.1_ex1	chr16	-	3746334	3751903	3740113	3742879	0.0	0.016557042413245633	4409	0.0	0.0	2345
ENSCSAT00000008231.1	ENSCSAG00000010211.1_ex13	chr16	+	9226571	9227244	9227582	9635839	0.0	0.039755351681957186	654	0.0	0.0405229457052282	317968
ENSCSAT00000007100.1	ENSCSAG00000009036.1_ex1	chr16	-	12835957	12837662	12594605	12835336	0.0	0.043478260869565216	1702	0.0	0.03626117097785847	212045
ENSCSAT00000000650.1	ENSCSAG00000002635.1_ex19	chr16	+	67654501	67659466	67659600	67753482	0.0	0.013030888030888031	4144	0.0	0.02084674822923374	49696
ENSCSAT00000003897.1	ENSCSAG00000005856.1_ex1	chr16	-	34047329	34050098	33961325	34042549	0.0	0.038058991436726926	2102	0.0	0.025515240345786845	66862
ENSCSAT00000002030.1	ENSCSAG00000004001.1_ex16	chr16	+	56943202	56946128	56951000	56982561	0.0	0.0	2731	0.0	0.027638470968460938	17946
ENSCSAT00000002479.1	ENSCSAG00000004490.1_ex45	chr16	+	48296244	48301293	48301649	48328555	0.0	0.04011653966831018	4462	0.0	0.03463224314821059	20761
ENSCSAT00000000417.1	ENSCSAG00000002402.1_ex4	chr16	+	70232081	70235102	70235194	70239893	0.0	0.0008669267446900737	2307	0.0	0.035956105533504555	4283
ENSCSAT00000000125.1	ENSCSAG00000002109.1_ex9	chr16	+	74495879	74503175	74503374	74557538	NA	NA	0	0.0	0.0	21186
ENSCSAT00000015712.1	ENSCSAG00000017618.1_ex1	chr18	-	60088734	60092749	60084714	60088523	0.0	0.033827229521945765	3577	NA	NA	0
ENSCSAT00000015648.1	ENSCSAG00000017553.1_ex7	chr18	+	68726034	68732889	68736772	68736826	0.0	0.03484965304548959	6485	0.0	0.07272727272727272	55
ENSCSAT00000015793.1	ENSCSAG00000017699.1_ex10	chr18	+	56936490	56941900	56944307	56950240	0.0	0.03146927493089517	4703	0.0	0.03500541320822808	5542
ENSCSAT00000016046.1	ENSCSAG00000017949.1_ex3	chr18	-	35931632	35969328	35888767	35928170	0.0	0.031165395028304208	32504	0.0	0.036324230602514086	34605
ENSCSAT00000016122.1	ENSCSAG00000018024.1_ex4	chr18	+	32011718	32022032	32024851	32247885	0.0	0.03173447091873895	9611	0.0	0.03443679400161721	204055
ENSCSAT00000016256.1	ENSCSAG00000018160.1_ex5	chr18	+	21177682	21197723	21201113	21203909	0.0	0.032821341956346	18555	0.0	0.043288468534012366	2749
ENSCSAT00000016283.1	ENSCSAG00000018186.1_ex1	chr18	-	17385907	17393477	17313572	17382568	0.0	0.035043097357637415	7077	0.0	0.03618942802576636	61786
ENSCSAT00000016287.1	ENSCSAG00000018191.1_ex2	chr18	+	16540040	16637762	16637896	16782637	0.0	0.023293344919816272	88609	0.0	0.02354276544321262	102197
ENSCSAT00000016327.1	ENSCSAG00000018231.1_ex1	chr18	-	4846541	4919795	4735487	4844048	0.0	0.03316105517880082	66946	0.0	0.03896949007894175	93740
ENSCSAT00000009595.1	ENSCSAG00000011506.1_ex1	chr6	-	2288021	2290503	2282358	2287893	0.0	0.037337662337662336	1848	0.0	0.045933911413170846	4267
ENSCSAT00000003062.1	ENSCSAG00000005029.1_ex1	chr6	-	18458841	18466510	18365030	18457568	NA	NA	0	NA	NA	0
ENSCSAT00000003010.1	ENSCSAG00000004980.1_ex3	chr6	+	19574463	19578732	19580533	19659572	NA	NA	0	NA	NA	0
ENSCSAT00000003002.1	ENSCSAG00000004974.1_ex1	chr6	-	19714477	19722524	19669821	19710359	0.0	0.0	7111	0.0	0.0	10565
ENSCSAT00000003000.1	ENSCSAG00000004971.1_ex1	chr6	-	19794894	19802775	19760170	19789492	NA	NA	0	NA	NA	0
ENSCSAT00000002984.1	ENSCSAG00000004956.1_ex10	chr6	-	20201145	20205803	20200646	20200654	NA	NA	0	NA	NA	0
ENSCSAT00000002979.1	ENSCSAG00000004945.1_ex3	chr6	+	20329824	20334498	20334934	20335185	NA	NA	0	NA	NA	0
ENSCSAT00000002858.1	ENSCSAG00000004832.1_ex1	chr6	+	25297554	25494971	25497143	25540954	0.0	0.03379603735529906	177003	0.0	0.03622547233643887	38426
ENSCSAT00000018617.1	ENSCSAG00000018527.1_ex1	chr6	+	30337566	30377425	30378420	30418401	0.0	0.03571428571428571	224	0.0	0.037379238799196	30846
ENSCSAT00000002238.1	ENSCSAG00000004210.1_ex1	chr6	-	31308633	31320140	31290463	31307606	0.0	0.0179442782937195	6353	0.0	0.0	13317
ENSCSAT00000001353.1	ENSCSAG00000003326.1_ex3	chr6	+	37751057	37752428	37754277	37892562	0.0	0.0	1136	0.0	0.007235453723243895	69657
ENSCSAT00000001350.1	ENSCSAG00000003323.1_ex1	chr6	-	37769297	37775126	37754373	37767319	0.0	0.022369362920544023	5588	0.0	0.0	10254
ENSCSAT00000001347.1	ENSCSAG00000003321.1_ex1	chr6	-	37801668	37805139	37789670	37798283	NA	NA	0	0.0	0.005635787249031349	2839
ENSCSAT00000001043.1	ENSCSAG00000003015.1_ex2	chr6	+	40235187	40264300	40268171	40275909	0.0	0.03067364033190452	25429	0.0	0.026541332596074094	7234
ENSCSAT00000016861.1	ENSCSAG00000001668.1_ex1	chr6	-	49007844	49013566	48980504	49002499	0.0	0.025004630487127245	5399	0.0	0.03260276959982554	18342
ENSCSAT00000011610.1	ENSCSAG00000013514.1_ex1	chr2	-	31351120	31354998	31347764	31348806	0.0	0.03731931668856767	3805	0.0	0.02213666987487969	1039
ENSCSAT00000011682.1	ENSCSAG00000013586.1_ex1	chr2	-	29245877	29270527	29078857	29242423	0.0	0.038011695906432746	22572	0.0	0.034246263561186555	131810
ENSCSAT00000008092.1	ENSCSAG00000010002.1_ex3	chr2	+	57451596	57458946	57462001	57467798	0.0	0.04701588664662946	4658	0.0	0.045370560459864505	4871
ENSCSAT00000011827.1	ENSCSAG00000013728.1_ex1	chr2	-	25661865	25673254	25555894	25659234	0.0	0.04142182834023697	10381	0.0	0.03775522466325092	91537
ENSCSAT00000012055.1	ENSCSAG00000013961.1_ex3	chr2	+	22539679	22571076	22574088	22582105	0.0	0.030130732517119733	24095	0.0	0.05366175500329888	4547
ENSCSAT00000013279.1	ENSCSAG00000015184.1_ex1	chr2	-	13219874	13225370	13197568	13215927	0.0	0.02712085050987199	4609	0.0	0.027800053461641272	11223
ENSCSAT00000008091.1	ENSCSAG00000010001.1_ex1	chr19	-	10655788	10678903	10084003	10652937	0.0	0.03648705982180738	21213	0.0	0.032980849345759164	466877
ENSCSAT00000008091.1	ENSCSAG00000010001.1_ex2	chr19	-	10706763	10734175	10678903	10702017	0.0	0.025764529467896577	22007	0.0	0.03173033707865169	22250
ENSCSAT00000003709.1	ENSCSAG00000005671.1_ex5	chr19	-	24748311	24800752	24727137	24742618	0.0	0.03330830660023207	43953	0.0	0.03518050126465854	13047
ENSCSAT00000003215.1	ENSCSAG00000005254.1_ex35	chr19	-	29027459	29027552	28988001	29026475	NA	NA	0	0.0	0.0	25967
ENSCSAT00000003166.1	ENSCSAG00000005134.1_ex13	chr19	+	29654060	29681184	29684410	30378746	0.0	0.0	23853	0.0	0.013989468812927595	479718
