susannes_file_line_index	transcript	exon	chrom	exonStart	exonEnd
399	ENSPTRT00000018804	ENSPTRG00000010239_ex1/3	chr19	-	2533133	2533806
401	ENSPTRT00000019848	ENSPTRG00000010755_ex1/4	chr19	-	20302071	20303898
402	ENSPTRT00000019836	ENSPTRG00000010750_ex1/5	chr19	-	20513820	20514496
403	ENSPTRT00000066822	ENSPTRG00000010752_ex4/4	chr19	+	21829576	21831375
404	ENSPTRT00000019883	ENSPTRG00000010763_ex1/5	chr19	-	22002517	22004202
405	ENSPTRT00000051006	ENSPTRG00000029066_ex1/4	chr19	-	22087377	22089242
406	ENSPTRT00000068145	ENSPTRG00000029064_ex2/4	chr19	-	22454954	22455577
407	ENSPTRT00000049692	ENSPTRG00000010768_ex4/6	chr19	+	22596640	22598916
409	ENSPTRT00000019970	ENSPTRG00000010786_ex2/5	chr19	+	35788673	35790845
411	ENSPTRT00000066710	ENSPTRG00000010820_ex1/3	chr19	-	40252852	40254378
412	ENSPTRT00000020078	ENSPTRG00000010844_ex1/1	chr19	+	40957394	40958387
413	ENSPTRT00000020177	ENSPTRG00000010891_ex4/4	chr19	+	41768532	41771625
414	ENSPTRT00000064464	ENSPTRG00000010896_ex5/5	chr19	+	42635546	42637866
415	ENSPTRT00000056116	ENSPTRG00000029031_ex1/2	chr19	-	42201078	42202821
416	ENSPTRT00000043695	ENSPTRG00000024377_ex1/4	chr19	-	43171190	43173981
417	ENSPTRT00000020648	ENSPTRG00000011111_ex4/4	chr19	+	49869871	49872292
418	ENSPTRT00000065793	ENSPTRG00000011112_ex2/5	chr19	-	49884609	49885048
419	ENSPTRT00000049473	ENSPTRG00000011113_ex1/4	chr19	-	49921940	49925324
421	ENSPTRT00000020809	ENSPTRG00000011198_ex1/8	chr19	+	52549483	52553164
422	ENSPTRT00000021196	ENSPTRG00000011397_ex2/2	chr19	+	57470947	57473396
424	ENSPTRT00000021495	ENSPTRG00000011536_ex1/5	chr19	-	62285891	62288764
425	ENSPTRT00000021519	ENSPTRG00000022542_ex3/3	chr19	+	62468791	62471697
426	ENSPTRT00000024388	ENSPTRG00000013141_ex1/1	chr20	+	258477	261234
428	ENSPTRT00000024606	ENSPTRG00000013238_ex3/3	chr20	+	6720422	6722441
429	ENSPTRT00000024610	ENSPTRG00000013241_ex32/32	chr20	+	8847129	8847357
430	ENSPTRT00000066338	ENSPTRG00000013306_ex1/40	chr20	-	20642886	20643373
432	ENSPTRT00000025028	ENSPTRG00000013459_ex3/3	chr20	+	33740584	33743594
433	ENSPTRT00000025082	ENSPTRG00000013481_ex7/7	chr20	+	35269836	35272469
435	ENSPTRT00000025116	ENSPTRG00000013501_ex2/4	chr20	-	38473653	38476663
436	ENSPTRT00000025380	ENSPTRG00000013620_ex3/4	chr20	+	48228131	48228190
437	ENSPTRT00000064590	ENSPTRG00000013628_ex1/10	chr20	-	48895144	48897973
439	ENSPTRT00000026531	ENSPTRG00000014201_ex1/10	chr22	-	26582684	26582866
440	ENSPTRT00000026531	ENSPTRG00000014201_ex2/10	chr22	-	26628711	26629252
441	ENSPTRT00000027002	ENSPTRG00000014452_ex4/4	chr22	-	41269289	41275084
442	ENSPTRT00000067538	ENSPTRG00000014511_ex31/33	chr22	-	45732162	45734984
443	ENSPTRT00000027145	ENSPTRG00000014516_ex13/13	chr22	+	46386156	46386723
